provider,fund_name,fund_type,fee_pct,return_1yr,return_5yr
INVESTNOW KIWISAVER SCHEME,INVESTNOW RUSSELL INVESTMENTS GLOBAL SHARES FUND,Aggressive,0.93,17.12,11.07
INVESTNOW KIWISAVER SCHEME,INVESTNOW RUSSELL INVESTMENTS HEDGED GLOBAL SHARES FUND,Aggressive,0.92,15.72,6.93
INVESTNOW KIWISAVER SCHEME,INVESTNOW RUSSELL INVESTMENTS NZ FIXED INTEREST FUND,Defensive,0.49,2.39,0.85
INVESTNOW KIWISAVER SCHEME,INVESTNOW SALT CAPITAL GROWTH FUND,Growth,1.1,0.18,
INVESTNOW KIWISAVER SCHEME,INVESTNOW SALT ENHANCED PROPERTY FUND,Aggressive,1.02,7.34,-1.67
INVESTNOW KIWISAVER SCHEME,INVESTNOW SMART GROWTH FUND,Growth,0.51,10.14,
INVESTNOW KIWISAVER SCHEME,INVESTNOW TE AHUMAIRANGI GLOBAL EQUITY FUND,Aggressive,0.62,19.26,
KERNEL KIWISAVER PLAN,KERNEL AUSTRALIA 100 FUND,Aggressive,0.25,,
KERNEL KIWISAVER PLAN,KERNEL BALANCED FUND,Balanced,0.25,10.51,
KERNEL KIWISAVER PLAN,KERNEL CASH PLUS FUND,Defensive,0.25,2.56,
KERNEL KIWISAVER PLAN,KERNEL CONSERVATIVE FUND,Conservative,0.25,,
KERNEL KIWISAVER PLAN,KERNEL EMERGING MARKETS FUND,Aggressive,0.45,19.7,
KERNEL KIWISAVER PLAN,KERNEL GLOBAL ESG (NZD HEDGED) FUND,Aggressive,0.25,12.16,
KERNEL KIWISAVER PLAN,KERNEL GLOBAL ESG FUND,Aggressive,0.25,14.23,
KERNEL KIWISAVER PLAN,KERNEL GLOBAL INFRASTRUCTURE (NZD HEDGED) FUND,Aggressive,0.25,13.2,
KERNEL KIWISAVER PLAN,KERNEL GLOBAL INFRASTRUCTURE FUND,Aggressive,0.25,16.25,
KERNEL KIWISAVER PLAN,KERNEL GLOBAL PROPERTY (NZD HEDGED) FUND,Aggressive,0.25,4.0,
KERNEL KIWISAVER PLAN,KERNEL HIGH GROWTH FUND,Aggressive,0.25,15.79,
KERNEL KIWISAVER PLAN,KERNEL NZ 20 FUND,Aggressive,0.25,3.01,
KERNEL KIWISAVER PLAN,KERNEL NZ 50 ESG TILTED FUND,Aggressive,0.25,4.98,
KERNEL KIWISAVER PLAN,KERNEL NZ BOND FUND,Defensive,0.4,3.51,
KERNEL KIWISAVER PLAN,KERNEL NZ COMMERCIAL PROPERTY FUND,Aggressive,0.25,7.45,
KERNEL KIWISAVER PLAN,KERNEL NZ SMALL & MID CAP OPPORTUNITIES FUND,Aggressive,0.25,11.94,
KERNEL KIWISAVER PLAN,KERNEL S&P 500 (NZD HEDGED) FUND,Aggressive,0.25,12.56,
KERNEL KIWISAVER PLAN,KERNEL S&P 500 (UNHEDGED) FUND,Aggressive,0.25,15.1,
KERNEL KIWISAVER PLAN,KERNEL S&P GLOBAL 100 (NZD HEDGED) FUND,Aggressive,0.25,21.63,
KERNEL KIWISAVER PLAN,KERNEL S&P GLOBAL 100 FUND,Aggressive,0.25,24.28,
KERNEL KIWISAVER PLAN,KERNEL S&P GLOBAL CLEAN ENERGY FUND,Aggressive,0.45,85.34,
KERNEL KIWISAVER PLAN,KERNEL S&P GLOBAL DIVIDEND ARISTOCRATS FUND,Aggressive,0.25,13.8,
KERNEL KIWISAVER PLAN,KERNEL US BOND FUND,Defensive,0.3,0.98,
KERNEL KIWISAVER PLAN,KERNEL WORLD EX-US (NZD HEDGED) FUND,Aggressive,0.25,,
KERNEL KIWISAVER PLAN,KERNEL WORLD EX-US FUND,Aggressive,0.25,,
NZ FUNDS KIWISAVER SCHEME,LIFE CYCLE - AGE 0-54,Aggressive,2.01,7.53,-0.83
NZ FUNDS KIWISAVER SCHEME,LIFE CYCLE - AGE 65,Growth,1.67,6.09,-0.69
NZ FUNDS KIWISAVER SCHEME,LIFE CYCLE - AGE 75,Balanced,1.6,5.55,-0.56
SBS WEALTH KIWISAVER SCHEME,LIFESTAGES AUTO OPTION AGE 0 - 49,Aggressive,1.17,11.77,7.28
SBS WEALTH KIWISAVER SCHEME,LIFESTAGES AUTO OPTION AGE 50 - 54,Growth,1.11,9.62,5.9
SBS WEALTH KIWISAVER SCHEME,LIFESTAGES AUTO OPTION AGE 55 - 59,Balanced,1.05,7.52,4.51
SBS WEALTH KIWISAVER SCHEME,LIFESTAGES AUTO OPTION AGE 60 - 64,Balanced,0.99,5.58,3.14
SBS WEALTH KIWISAVER SCHEME,LIFESTAGES AUTO OPTION AGE 65+,Conservative,0.96,4.61,2.42
AMP KIWISAVER SCHEME,MILFORD ACTIVE GROWTH FUND,Growth,1.57,7.23,
AMP KIWISAVER SCHEME,MILFORD AGGRESSIVE FUND,Aggressive,1.57,5.98,
AMP KIWISAVER SCHEME,MILFORD BALANCED FUND,Balanced,1.43,4.19,
AMP KIWISAVER SCHEME,MILFORD CONSERVATIVE FUND,Conservative,1.33,1.6,
MILFORD KIWISAVER PLAN,MILFORD KIWISAVER ACTIVE GROWTH FUND,Growth,1.05,7.64,6.82
MILFORD KIWISAVER PLAN,MILFORD KIWISAVER AGGRESSIVE FUND,Aggressive,1.15,6.13,6.37
MILFORD KIWISAVER PLAN,MILFORD KIWISAVER BALANCED FUND,Balanced,1.05,4.58,4.88
MILFORD KIWISAVER PLAN,MILFORD KIWISAVER CASH FUND,Defensive,0.2,2.19,2.55
MILFORD KIWISAVER PLAN,MILFORD KIWISAVER CONSERVATIVE FUND,Conservative,0.85,1.89,2.57
MILFORD KIWISAVER PLAN,MILFORD KIWISAVER MODERATE FUND,Balanced,0.95,3.23,3.63
WESTPAC KIWISAVER SCHEME,MODERATE FUND,Balanced,0.4,6.45,3.14
GENERATE KIWISAVER SCHEME,MODERATE FUND,Balanced,1.26,4.74,3.54
ASB KIWISAVER SCHEME,MODERATE FUND,Balanced,0.6,7.05,3.55
BOOSTER KIWISAVER SCHEME,MODERATE FUND,Conservative,1.2,4.14,2.24
NEW ZEALAND DEFENCE FORCE KIWISAVER SCHEME,MODERATE FUND,Balanced,0.73,5.98,3.01
MAS KIWISAVER SCHEME,MODERATE FUND,Balanced,0.94,5.94,3.07
KOURA KIWISAVER SCHEME,NEW ZEALAND EQUITIES FUND,Aggressive,0.73,3.08,-0.36
ONEANSWER KIWISAVER SCHEME,NEW ZEALAND FIXED INTEREST FUND,Defensive,0.34,2.48,0.72
SUPERLIFE KIWISAVER SCHEME,NZ BONDS FUND,Defensive,0.64,2.59,1.45
SUPERLIFE KIWISAVER SCHEME,NZ CASH FUND,Defensive,0.62,2.02,2.4
ASB KIWISAVER SCHEME,NZ CASH FUND,Defensive,0.35,2.05,2.44
SUPERLIFE KIWISAVER SCHEME,NZ DIVIDEND FUND,Aggressive,0.69,19.37,3.0
SUPERLIFE KIWISAVER SCHEME,NZ MID CAP FUND,Aggressive,0.69,6.62,0.4
KOURA KIWISAVER SCHEME,NZ PROPERTY FUND,Aggressive,1.2,-1.65,
SUPERLIFE KIWISAVER SCHEME,NZ PROPERTY FUND,Aggressive,0.69,6.95,-3.29
SUPERLIFE KIWISAVER SCHEME,NZ SHARES FUND,Aggressive,0.69,4.1,-0.46
SUPERLIFE KIWISAVER SCHEME,NZ TOP 10 FUND,Aggressive,0.69,4.08,-0.33
SUPERLIFE KIWISAVER SCHEME,NZ TOP 50 FUND,Aggressive,0.69,4.06,-0.48
SUPERLIFE KIWISAVER SCHEME,OVERSEAS BONDS FUND,Defensive,0.69,0.27,-0.05
SUPERLIFE KIWISAVER SCHEME,OVERSEAS NON-GOVERNMENT BONDS FUND,Defensive,0.64,1.47,-0.12
SUPERLIFE KIWISAVER SCHEME,OVERSEAS SHARES (CURRENCY HEDGED) FUND,Aggressive,0.68,12.74,8.62
SUPERLIFE KIWISAVER SCHEME,OVERSEAS SHARES FUND,Aggressive,0.68,14.12,11.53
PATHFINDER KIWISAVER PLAN,PATHFINDER KIWISAVER BALANCED FUND,Balanced,1.25,6.72,4.79
PATHFINDER KIWISAVER PLAN,PATHFINDER KIWISAVER CONSERVATIVE FUND,Conservative,1.01,2.63,2.7
PATHFINDER KIWISAVER PLAN,PATHFINDER KIWISAVER GROWTH FUND,Growth,1.37,8.87,5.56
PATHFINDER KIWISAVER PLAN,PATHFINDER KIWISAVER HIGH GROWTH FUND,Growth,1.36,,
PIE KIWISAVER SCHEME,PIE KIWISAVER AGGRESSIVE FUND,Growth,1.19,,
PIE KIWISAVER SCHEME,PIE KIWISAVER BALANCED FUND,Balanced,0.69,12.9,2.12
PIE KIWISAVER SCHEME,PIE KIWISAVER CONSERVATIVE FUND,Conservative,0.69,7.09,1.77
PIE KIWISAVER SCHEME,PIE KIWISAVER GROWTH FUND,Growth,0.68,16.15,1.64
FISHER FUNDS TWO KIWISAVER SCHEME,PRESERVATION FUND,Defensive,0.61,2.24,2.28
QUAYSTREET KIWISAVER SCHEME,QUAYSTREET ALTUM FUND,Growth,1.37,17.29,7.14
QUAYSTREET KIWISAVER SCHEME,QUAYSTREET AUSTRALIAN EQUITY FUND,Aggressive,1.37,9.55,7.14
QUAYSTREET KIWISAVER SCHEME,QUAYSTREET BALANCED FUND,Balanced,1.12,9.47,7.23
QUAYSTREET KIWISAVER SCHEME,QUAYSTREET CONSERVATIVE FUND,Conservative,0.86,4.47,3.36
QUAYSTREET KIWISAVER SCHEME,QUAYSTREET FIXED INTEREST FUND,Defensive,0.86,2.56,1.85
QUAYSTREET KIWISAVER SCHEME,QUAYSTREET GROWTH FUND,Growth,1.37,11.89,8.95
QUAYSTREET KIWISAVER SCHEME,QUAYSTREET HIGH GROWTH FUND,Aggressive,1.41,14.75,
QUAYSTREET KIWISAVER SCHEME,QUAYSTREET INCOME FUND,Defensive,0.87,3.84,2.9
QUAYSTREET KIWISAVER SCHEME,QUAYSTREET INTERNATIONAL EQUITY (NZD HEDGED) FUND,Aggressive,1.25,15.57,
QUAYSTREET KIWISAVER SCHEME,QUAYSTREET INTERNATIONAL EQUITY FUND,Aggressive,1.27,16.73,13.72
QUAYSTREET KIWISAVER SCHEME,QUAYSTREET NEW ZEALAND EQUITY FUND,Aggressive,1.37,3.95,0.71
QUAYSTREET KIWISAVER SCHEME,QUAYSTREET SOCIALLY RESPONSIBLE INVESTMENT FUND,Balanced,1.12,7.3,6.76
MERCER KIWISAVER SCHEME,RESPONSIBLE BALANCED FUND,Balanced,0.75,7.1,4.01
MERCER KIWISAVER SCHEME,RESPONSIBLE CONSERVATIVE FUND,Conservative,0.49,3.77,2.18
MERCER KIWISAVER SCHEME,RESPONSIBLE GROWTH FUND,Growth,0.84,8.62,5.06
MERCER KIWISAVER SCHEME,RESPONSIBLE HIGH GROWTH FUND,Aggressive,0.89,10.1,5.89
MERCER KIWISAVER SCHEME,RESPONSIBLE MODERATE FUND,Balanced,0.66,5.16,3.03
MERCER KIWISAVER SCHEME,RESPONSIBLE SHARES FUND,Aggressive,0.95,10.94,5.77
KOURA KIWISAVER SCHEME,REST OF WORLD EQUITIES FUND,Aggressive,0.73,13.7,7.97
SUPERLIFE KIWISAVER SCHEME,S&P/ASX 200 FUND,Aggressive,0.69,19.2,8.77
SUPERLIFE KIWISAVER SCHEME,S&P/NZX 50 FUND,Aggressive,0.69,4.29,-0.22
SUPERLIFE KIWISAVER SCHEME,S&P/NZX NZ GOVERNMENT BOND FUND,Defensive,0.64,1.94,-0.14
SBS WEALTH KIWISAVER SCHEME,SBS WEALTH CASH FUND,Defensive,0.45,,
SBS WEALTH KIWISAVER SCHEME,SBS WEALTH FOCUSED GROWTH FUND,Aggressive,1.2,,
SBS WEALTH KIWISAVER SCHEME,SBS WEALTH HIGH GROWTH FUND,Aggressive,1.17,11.67,7.39
SBS WEALTH KIWISAVER SCHEME,SBS WEALTH INCOME FUND,Defensive,0.87,1.39,0.34
ONEANSWER KIWISAVER SCHEME,SELECT INTERNATIONAL SHARE FUND,Aggressive,0.9,13.32,12.41
NEW ZEALAND DEFENCE FORCE KIWISAVER SCHEME,SHARES FUND,Aggressive,0.96,13.08,6.53
SHARESIES KIWISAVER SCHEME,SHARESIES FISHER FUNDS GROWTH FUND,Growth,1.2,,
SHARESIES KIWISAVER SCHEME,SHARESIES GENERATE FOCUSED GROWTH FUND,Aggressive,1.31,,
SHARESIES KIWISAVER SCHEME,SHARESIES MILFORD AGGRESSIVE FUND,Aggressive,1.15,6.25,
SHARESIES KIWISAVER SCHEME,SHARESIES MILFORD BALANCED FUND,,1.07,,
SHARESIES KIWISAVER SCHEME,SHARESIES PATHFINDER ETHICAL GROWTH FUND,Growth,1.35,8.87,
SHARESIES KIWISAVER SCHEME,SHARESIES PIE GLOBAL GROWTH 2 FUND,Aggressive,1.49,20.83,
SHARESIES KIWISAVER SCHEME,SHARESIES SMARTSHARES CONSERVATIVE FUND,Conservative,0.47,5.05,
SHARESIES KIWISAVER SCHEME,SHARESIES SMARTSHARES GROWTH FUND,Growth,0.51,10.23,
SHARESIES KIWISAVER SCHEME,SHARESIES TOTAL WORLD SHARE FUND,,0.12,,
SHARESIES KIWISAVER SCHEME,SHARESIES US500 FUND,Aggressive,0.09,15.85,
BOOSTER KIWISAVER SCHEME,SHIELDED GROWTH FUND,Aggressive,1.41,8.84,5.13
BOOSTER KIWISAVER SCHEME,SOCIALLY RESPONSIBLE BALANCED FUND,Balanced,1.33,5.69,4.0
BOOSTER KIWISAVER SCHEME,SOCIALLY RESPONSIBLE GEARED GROWTH FUND,Aggressive,1.46,9.87,
BOOSTER KIWISAVER SCHEME,SOCIALLY RESPONSIBLE GROWTH FUND,Growth,1.34,7.12,
BOOSTER KIWISAVER SCHEME,SOCIALLY RESPONSIBLE HIGH GROWTH FUND,Aggressive,1.35,8.74,6.76
BOOSTER KIWISAVER SCHEME,SOCIALLY RESPONSIBLE MODERATE FUND,Conservative,1.21,4.02,2.34
GENERATE KIWISAVER SCHEME,STEPPING STONES 0-35,Aggressive,1.39,8.77,6.72
GENERATE KIWISAVER SCHEME,STEPPING STONES 36-45,Growth,1.37,7.18,5.54
GENERATE KIWISAVER SCHEME,STEPPING STONES 46-55,Balanced,1.36,6.23,4.32
GENERATE KIWISAVER SCHEME,STEPPING STONES 56-60,Balanced,1.31,5.49,4.0
GENERATE KIWISAVER SCHEME,STEPPING STONES 61-64,Balanced,1.26,4.74,3.5
GENERATE KIWISAVER SCHEME,STEPPING STONES 65-75,Conservative,1.23,4.0,
GENERATE KIWISAVER SCHEME,STEPPING STONES 76+,Conservative,1.2,3.26,
GENERATE KIWISAVER SCHEME,STEPPING STONES GROWTH 0-50,Aggressive,1.39,8.77,7.01
GENERATE KIWISAVER SCHEME,STEPPING STONES GROWTH 51-55,Growth,1.37,7.18,5.54
GENERATE KIWISAVER SCHEME,STEPPING STONES GROWTH 56-60,Balanced,1.36,6.23,4.32
GENERATE KIWISAVER SCHEME,STEPPING STONES GROWTH 61-75,Balanced,1.26,4.74,
GENERATE KIWISAVER SCHEME,STEPPING STONES GROWTH 76+,Conservative,1.2,3.26,
KOURA KIWISAVER SCHEME,STRATEGIC HIGH GROWTH FUND,Aggressive,1.2,13.67,
SUMMER KIWISAVER SCHEME,SUMMER AUSTRALIAN EQUITIES,Aggressive,1.02,12.19,8.01
SUMMER KIWISAVER SCHEME,SUMMER BALANCED SELECTION,Balanced,1.02,6.57,3.36
SUMMER KIWISAVER SCHEME,SUMMER CONSERVATIVE SELECTION,Conservative,0.87,4.37,2.17
SUMMER KIWISAVER SCHEME,SUMMER GLOBAL EQUITIES,Aggressive,1.02,12.15,6.87
SUMMER KIWISAVER SCHEME,SUMMER GLOBAL FIXED INTEREST,Defensive,0.87,2.91,0.2
SUMMER KIWISAVER SCHEME,SUMMER GROWTH SELECTION,Growth,1.02,8.71,4.51
SUMMER KIWISAVER SCHEME,SUMMER LISTED PROPERTY,Aggressive,1.02,5.65,-2.69
SUMMER KIWISAVER SCHEME,SUMMER NEW ZEALAND CASH,Defensive,0.62,2.19,2.41
SUMMER KIWISAVER SCHEME,SUMMER NEW ZEALAND EQUITIES,Aggressive,1.02,5.46,1.46
SUMMER KIWISAVER SCHEME,SUMMER NEW ZEALAND FIXED INTEREST,Defensive,0.87,2.58,1.24
SUPERLIFE KIWISAVER SCHEME,SUPERLIFE AGE STEPS - AGE 20,Aggressive,0.73,12.09,6.42
SUPERLIFE KIWISAVER SCHEME,SUPERLIFE AGE STEPS - AGE 30,Growth,0.72,10.29,5.43
SUPERLIFE KIWISAVER SCHEME,SUPERLIFE AGE STEPS - AGE 40,Growth,0.72,10.29,5.43
SUPERLIFE KIWISAVER SCHEME,SUPERLIFE AGE STEPS - AGE 50,Growth,0.71,9.73,5.12
SUPERLIFE KIWISAVER SCHEME,SUPERLIFE AGE STEPS - AGE 60,Balanced,0.7,7.82,4.03
SUPERLIFE KIWISAVER SCHEME,SUPERLIFE AGE STEPS - AGE 70,Balanced,0.68,5.81,2.89
SUPERLIFE KIWISAVER SCHEME,SUPERLIFE AGE STEPS - AGE 80,Defensive,0.66,2.49,0.95
SUPERLIFE KIWISAVER SCHEME,SUPERLIFE BALANCED FUND,Balanced,0.7,8.2,4.28
SUPERLIFE KIWISAVER SCHEME,SUPERLIFE CONSERVATIVE FUND,Conservative,0.67,4.94,2.54
SUPERLIFE KIWISAVER SCHEME,SUPERLIFE DEFAULT FUND,Balanced,0.3,7.14,
SUPERLIFE KIWISAVER SCHEME,SUPERLIFE GROWTH FUND,Growth,0.71,10.1,5.5
SUPERLIFE KIWISAVER SCHEME,SUPERLIFE HIGH GROWTH FUND,Aggressive,0.73,12.54,6.67
SUPERLIFE KIWISAVER SCHEME,SUPERLIFE INCOME FUND,Defensive,0.66,1.39,0.34
SHARESIES KIWISAVER SCHEME,Sharesies Smartshares Balanced Fund,Balanced,0.5,8.31,
GENERATE KIWISAVER SCHEME,THEMATIC FUND,Aggressive,1.3,,
SUPERLIFE KIWISAVER SCHEME,TOTAL WORLD (NZD HEDGED) FUND,Aggressive,0.68,12.35,7.63
SUPERLIFE KIWISAVER SCHEME,TOTAL WORLD FUND,Aggressive,0.68,16.0,11.14
SUPERLIFE KIWISAVER SCHEME,UK CASH FUND,Defensive,0.59,2.41,3.49
SUPERLIFE KIWISAVER SCHEME,US 500 FUND,Aggressive,0.64,15.28,14.12
KOURA KIWISAVER SCHEME,US EQUITIES FUND,Aggressive,0.73,13.4,11.59
SUPERLIFE KIWISAVER SCHEME,US LARGE GROWTH FUND,Aggressive,0.67,13.54,13.58
SUPERLIFE KIWISAVER SCHEME,US LARGE VALUE FUND,Aggressive,0.67,15.94,13.08
SUPERLIFE KIWISAVER SCHEME,US MID CAP FUND,Aggressive,0.67,11.5,9.09
SUPERLIFE KIWISAVER SCHEME,US SMALL CAP FUND,Aggressive,0.67,16.57,7.59
