id,name,provider,type,fee,return_1yr,return_5yr,risk_band,risk_lo,risk_hi,horizon_lo,horizon_hi,ethical,has_history,history_since
47,Automatic Fund (age 60),Supereasy KiwiSaver Superannuation Scheme,Balanced,0.5,6.82,3.02,3–4,3,4,4,9,False,False,
48,Automatic Fund (age 80),Supereasy KiwiSaver Superannuation Scheme,Conservative,0.5,4.4,1.98,2–3,2,3,1,4,False,False,
49,Balanced Fund,Fisher Funds KiwiSaver Plan,Balanced,1.04,2.9,3.58,3–4,3,4,4,9,False,False,
50,Balanced Fund,Christian KiwiSaver Scheme,Balanced,1.35,5.63,4.84,3–4,3,4,4,9,True,False,
51,Balanced Fund,Supereasy KiwiSaver Superannuation Scheme,Balanced,0.5,7.31,3.96,3–4,3,4,4,9,False,False,
52,Balanced Fund,Westpac KiwiSaver Scheme,Balanced,0.5,8.66,4.03,3–4,3,4,4,9,False,True,2013
53,Balanced Fund,Fisher Funds Two KiwiSaver Scheme,Balanced,0.95,2.29,2.94,3–4,3,4,4,9,False,True,2013
54,Balanced Fund,JMI Wealth KiwiSaver Scheme,Balanced,1.35,7.11,3.83,3–4,3,4,4,9,False,False,
55,Balanced Fund,Generate KiwiSaver Scheme,Balanced,1.36,6.23,,3–4,3,4,4,9,False,False,
56,Balanced Fund,Evidential KiwiSaver Scheme,Balanced,0.7,,,3–4,3,4,4,9,False,False,
57,Balanced Fund,NZ Funds KiwiSaver Scheme,Balanced,0.0,5.38,,3–4,3,4,4,9,False,True,2021
58,Balanced Fund,ANZ KiwiSaver Scheme,Balanced,0.88,6.53,2.98,3–4,3,4,4,9,False,True,2013
59,Balanced Fund,ASB KiwiSaver Scheme,Balanced,0.65,9.09,4.93,3–4,3,4,4,9,False,True,2013
60,Balanced Fund,Oneanswer KiwiSaver Scheme,Balanced,0.88,6.53,2.98,3–4,3,4,4,9,False,True,2013
61,Balanced Fund,Booster KiwiSaver Scheme,Balanced,1.31,6.17,3.62,3–4,3,4,4,9,False,True,2016
62,Balanced Fund,New Zealand Defence Force KiwiSaver Scheme,Balanced,0.8,8.31,4.0,3–4,3,4,4,9,False,True,2015
63,Balanced Fund,ANZ Default KiwiSaver Scheme,Balanced,0.88,6.53,2.98,3–4,3,4,4,9,False,True,2013
64,Balanced Fund,Simplicity KiwiSaver Scheme,Balanced,0.25,7.8,4.35,3–4,3,4,4,9,False,True,2016
65,Balanced Fund,MAS KiwiSaver Scheme,Balanced,0.98,8.23,4.27,3–4,3,4,4,9,False,True,2021
66,Balanced Growth Fund,Oneanswer KiwiSaver Scheme,Growth,0.92,8.03,3.71,4–5,4,5,6,12,False,True,2013
67,Balanced Growth Fund,ANZ KiwiSaver Scheme,Growth,0.92,8.04,3.71,4–5,4,5,6,12,False,True,2013
68,Balanced Growth Fund,ANZ Default KiwiSaver Scheme,Growth,0.92,8.03,3.71,4–5,4,5,6,12,False,True,2013
69,Balanced Portfolio,Maritime KiwiSaver Scheme,Balanced,0.71,5.06,4.68,3–4,3,4,4,9,False,False,
70,Balanced Strategy,Koura KiwiSaver Scheme,Balanced,1.03,9.44,,3–4,3,4,4,9,True,False,
71,Balanced Strategy,Fisher Funds KiwiSaver Scheme,Balanced,1.0,2.34,2.89,3–4,3,4,4,9,False,True,2016
72,Bcf KiwiSaver Scheme,Bcf KiwiSaver Scheme,Defensive,0.98,2.73,2.46,1–2,1,2,0,3,False,False,
73,Bitcoin Fund,Koura KiwiSaver Scheme,Aggressive,1.2,-19.79,,5–7,5,7,10,40,True,False,
74,BNZ KiwiSaver Balanced Fund,BNZ KiwiSaver Scheme,Balanced,0.45,7.8,4.43,3–4,3,4,4,9,False,True,2016
75,BNZ KiwiSaver Cash Fund,BNZ KiwiSaver Scheme,Defensive,0.3,2.28,2.53,1–2,1,2,0,3,False,True,2016
76,BNZ KiwiSaver Conservative Fund,BNZ KiwiSaver Scheme,Conservative,0.45,3.73,2.09,2–3,2,3,1,4,False,True,2016
77,BNZ KiwiSaver Default Fund,BNZ KiwiSaver Scheme,Balanced,0.35,8.4,,3–4,3,4,4,9,False,True,2021
78,BNZ KiwiSaver First Home Buyer Fund,BNZ KiwiSaver Scheme,Conservative,0.45,3.41,2.62,2–3,2,3,1,4,False,True,2016
79,BNZ KiwiSaver Growth Fund,BNZ KiwiSaver Scheme,Growth,0.45,9.65,5.62,4–5,4,5,6,12,False,True,2016
80,BNZ KiwiSaver High Growth Fund,BNZ KiwiSaver Scheme,Aggressive,0.45,11.42,,5–7,5,7,10,40,False,False,
81,BNZ KiwiSaver Moderate Fund,BNZ KiwiSaver Scheme,Balanced,0.45,5.85,3.32,3–4,3,4,4,9,False,True,2016
82,Capital Guaranteed Fund,Booster KiwiSaver Scheme,Conservative,1.03,2.79,2.63,2–3,2,3,1,4,False,True,2016
83,Cash Fund,Fisher Funds KiwiSaver Plan,Defensive,0.45,2.46,2.68,1–2,1,2,0,3,False,False,
84,Cash Fund,Westpac KiwiSaver Scheme,Defensive,0.25,2.45,2.67,1–2,1,2,0,3,False,True,2013
85,Cash Fund,Koura KiwiSaver Scheme,Defensive,0.73,1.74,2.2,1–2,1,2,0,3,True,False,
86,Cash Fund,ANZ KiwiSaver Scheme,Defensive,0.22,2.35,2.6,1–2,1,2,0,3,False,True,2013
87,Cash Fund,Oneanswer KiwiSaver Scheme,Defensive,0.22,2.35,2.6,1–2,1,2,0,3,False,True,2013
88,Cash Fund,New Zealand Defence Force KiwiSaver Scheme,Defensive,0.43,2.06,2.34,1–2,1,2,0,3,False,True,2015
89,Cash Fund,Mercer KiwiSaver Scheme,Defensive,0.32,2.16,2.44,1–2,1,2,0,3,False,True,2021
90,Cash Fund,ANZ Default KiwiSaver Scheme,Defensive,0.22,2.35,2.59,1–2,1,2,0,3,False,True,2013
91,Cash Fund,MAS KiwiSaver Scheme,Defensive,0.25,2.76,2.62,1–2,1,2,0,3,False,True,2021
92,Cashplus Fund,Fisher Funds KiwiSaver Plan,Defensive,0.68,2.27,1.83,1–2,1,2,0,3,False,False,
93,Cashplus Fund,Generate KiwiSaver Scheme,Defensive,0.55,2.5,,1–2,1,2,0,3,False,False,
94,Castle Point 5 Oceans Fund,Superlife KiwiSaver Scheme,Aggressive,1.38,7.76,3.51,5–7,5,7,10,40,False,True,2020
