quarter,fund_number,fund_name,scheme_name,provider,fum,members,fund_start_date,return_1yr,return_5yr_avg,fee_total,risk_indicator,return_yr1,return_yr2,return_yr3,return_yr4,return_yr5,return_yr6,return_yr7,return_yr8,return_yr9,return_yr10,alloc_cash_and_cash_equivalents,alloc_new_zealand_fixed_interest,alloc_international_fixed_interest,alloc_australasian_equities,alloc_international_equities,alloc_listed_properties,alloc_unlisted_properties,alloc_other,alloc_commodities,target_cash_and_cash_equivalents,target_new_zealand_fixed_interest,target_international_fixed_interest,target_australasian_equities,target_international_equities,target_listed_properties,target_unlisted_properties,target_other,target_commodities
2018-06-30,FND1001,STEPPING STONES 0-35,GENERATE KIWISAVER SCHEME,1,19951160.0,2697,2013-04-16,15.67,,1.76,,,,,,,,,,,,8.15,12.37,0.0,10.38,57.09,12.01,0.0,0.0,0.0,1.75,7.5,0.0,18.25,54.25,18.25,0.0,0.0,0.0
2018-06-30,FND1002,STEPPING STONES 36-45 AND STEPPING STONES GROWTH 51-55,GENERATE KIWISAVER SCHEME,1,24726724.0,1168,2013-04-16,12.97,,1.61,,,,,,,,,,,,6.59,30.33,0.0,10.86,39.96,12.26,0.0,0.0,0.0,2.73,24.0,0.0,17.65,37.98,17.65,0.0,0.0,0.0
2018-06-30,FND1003,STEPPING STONES 46-55 AND STEPPING STONES GROWTH 56-60,GENERATE KIWISAVER SCHEME,1,25347861.0,1088,2013-04-16,10.27,,1.45,,,,,,,,,,,,5.04,48.29,0.0,11.33,22.84,12.5,0.0,0.0,0.0,3.7,40.5,0.0,17.05,21.7,17.05,0.0,0.0,0.0
2018-06-30,FND1004,STEPPING STONES 56-60,GENERATE KIWISAVER SCHEME,1,8082164.0,323,2013-04-16,8.2,,1.33,,,,,,,,,,,,3.25,62.74,0.0,11.97,9.08,12.96,0.0,0.0,0.0,4.5,53.0,0.0,17.0,8.5,17.0,0.0,0.0,0.0
2018-06-30,FND1005,STEPPING STONES 61-64 AND STEPPING STONES GROWTH 61-64,GENERATE KIWISAVER SCHEME,1,4954061.0,203,2013-04-16,7.44,,1.29,,,,,,,,,,,,3.11,67.48,0.0,11.97,4.54,12.9,0.0,0.0,0.0,4.75,57.75,0.0,16.63,4.25,16.63,0.0,0.0,0.0
2018-06-30,FND10339,SHIELDED GROWTH FUND,BOOSTER KIWISAVER SCHEME,1.14,388950.61,4,2018-05-31,,,1.34,,,,,,,,,,,,5.23,2.03,1.42,19.15,67.31,4.87,,,,2.0,,,32.0,54.0,12.0,,,
2018-06-30,FND1050,CONSERVATIVE FUND,FISHER FUNDS KIWISAVER SCHEME,0.84,634201533.0,70096,2009-06-01,4.28,,0.97,,,,,,,,,,,,25.91,31.42,23.42,6.3,9.63,0.61,2.71,0.0,0.0,23.0,22.0,33.0,6.0,9.0,3.5,3.5,0.0,0.0
2018-06-30,FND1051,GROWTH FUND,FISHER FUNDS KIWISAVER SCHEME,0.95,1618290313.0,107693,2007-10-01,12.97,,1.47,,,,,,,,,,,,14.92,9.7,2.88,27.84,40.37,0.75,3.54,0.0,0.0,5.0,6.0,9.0,29.0,42.0,4.5,4.5,0.0,0.0
2018-06-30,FND1052,BALANCED STRATEGY,FISHER FUNDS KIWISAVER SCHEME,0.9,578997727.0,37667,2009-06-01,8.99,,1.24,,,,,,,,,,,,19.85,19.48,12.12,18.15,26.54,0.69,3.17,0.0,0.0,13.0,13.0,20.0,19.0,27.0,4.0,4.0,0.0,0.0
2018-06-30,FND1080,PRESERVATION FUND,FISHER FUNDS TWO KIWISAVER SCHEME,0.48,26683289.62,1696,2007-10-01,1.69,,0.64,,,,,,,,,,,,48.17,51.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-30,FND1082,CASH ENHANCED FUND,FISHER FUNDS TWO KIWISAVER SCHEME,0.56,736076745.6,59118,2007-10-01,4.15,,0.56,,,,,,,,,,,,28.4,34.75,19.11,5.24,6.8,0.0,5.7,0.0,0.0,31.0,19.0,29.0,6.0,8.0,0.0,7.0,0.0,0.0
2018-06-30,FND1083,CONSERVATIVE FUND,FISHER FUNDS TWO KIWISAVER SCHEME,0.83,131658285.8,6602,2007-10-01,4.68,,0.96,,,,,,,,,,,,26.34,31.33,16.13,7.27,10.84,0.0,8.09,0.0,0.0,28.0,17.0,25.0,8.0,12.0,0.0,10.0,0.0,0.0
2018-06-30,FND1084,BALANCED FUND,FISHER FUNDS TWO KIWISAVER SCHEME,0.87,681525506.8,28338,2007-10-01,8.33,,1.01,,,,,,,,,,,,22.4,18.36,8.07,17.67,25.12,0.0,8.38,0.0,0.0,17.0,10.0,16.0,19.0,28.0,0.0,10.0,0.0,0.0
2018-06-30,FND1085,GROWTH FUND,FISHER FUNDS TWO KIWISAVER SCHEME,1,326602322.9,15717,2007-10-01,10.83,,1.12,,,,,,,,,,,,18.07,13.19,2.89,24.83,34.91,0.0,6.11,0.0,0.0,10.0,6.0,9.0,27.0,40.0,0.0,8.0,0.0,0.0
2018-06-30,FND1086,EQUITY FUND,FISHER FUNDS TWO KIWISAVER SCHEME,1.09,106755748.8,6391,2007-10-01,15.28,,1.24,,,,,,,,,,,,8.64,0.0,0.0,37.41,53.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,60.0,0.0,0.0,0.0,0.0
2018-06-30,FND1087,GLIDEPATH AGE 25,FISHER FUNDS TWO KIWISAVER SCHEME,1.09,137614.0,19,2014-07-01,15.28,,1.24,,,,,,,,,,,,8.64,0.0,0.0,37.41,53.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,60.0,0.0,0.0,0.0,0.0
2018-06-30,FND1088,GLIDEPATH AGE 40,FISHER FUNDS TWO KIWISAVER SCHEME,1.03,998537.0,44,2014-07-01,12.24,,1.16,,,,,,,,,,,,15.05,8.97,1.96,28.86,41.0,0.0,4.16,0.0,0.0,7.0,4.0,6.0,31.0,47.0,0.0,5.0,0.0,0.0
2018-06-30,FND1089,GLIDEPATH AGE 55,FISHER FUNDS TWO KIWISAVER SCHEME,0.88,499553.0,26,2014-07-01,8.61,,1.02,,,,,,,,,,,,21.92,17.79,7.5,18.46,26.2,0.0,8.13,0.0,0.0,16.0,10.0,15.0,20.0,29.0,0.0,10.0,0.0,0.0
2018-06-30,FND1090,GLIDEPATH AGE 65,FISHER FUNDS TWO KIWISAVER SCHEME,0.84,65366.0,6,2014-07-01,5.29,,0.97,,,,,,,,,,,,25.66,29.13,14.76,9.04,13.27,0.0,8.14,0.0,0.0,26.0,16.0,23.0,10.0,15.0,0.0,10.0,0.0,0.0
2018-06-30,FND1091,GLIDEPATH AGE 75,FISHER FUNDS TWO KIWISAVER SCHEME,0.81,0.0,0,2014-07-01,4.44,,0.93,,,,,,,,,,,,28.08,32.97,14.84,6.69,9.97,0.0,7.45,0.0,0.0,30.0,20.0,23.0,7.0,11.0,0.0,9.0,0.0,0.0
2018-06-30,FND11,MERCER CASH FUND,MERCER KIWISAVER SCHEME,0.32,16689938.49,1027,2007-10-01,1.48,,0.36,,,,,,,,,,,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-30,FND1165,NIKKO CASH FUND,AON KIWISAVER SCHEME,0.67,1419269.42,117,2007-10-31,1.59,,0.85,,,,,,,,,,,,100.0,,,,,,,,,100.0,,,,,,,,
2018-06-30,FND1166,RUSSELL LIFEPOINTS® CONSERVATIVE FUND,AON KIWISAVER SCHEME,0.94,74325480.39,9497,2007-09-30,4.31,,1.1,,,,,,,,,,,,,16.15,63.15,6.48,14.22,,,,,,16.0,64.0,6.0,14.0,,,,
2018-06-30,FND1173,RUSSELL LIFEPOINTS® MODERATE FUND,AON KIWISAVER SCHEME,0.99,21448120.06,896,2007-09-30,6.84,,1.15,,,,,,,,,,,,,11.99,46.93,14.97,26.11,,,,,,12.0,48.0,14.0,26.0,,,,
2018-06-30,FND1174,ANZ BALANCED FUND,AON KIWISAVER SCHEME,1.19,29771833.18,1130,2007-09-30,7.31,,1.35,,,,,,,,,,,,4.81,9.99,24.93,14.96,25.16,10.0,,10.15,,5.0,10.0,25.0,15.0,25.0,10.0,,10.0,
2018-06-30,FND1175,NIKKO BALANCED FUND,AON KIWISAVER SCHEME,1.57,8941647.52,492,2007-10-31,11.84,,1.73,,,,,,,,,,,,4.91,17.87,4.93,21.32,26.13,5.17,,19.67,,5.0,18.0,5.0,21.0,26.0,5.0,,20.0,
2018-06-30,FND1176,RUSSELL LIFEPOINTS® BALANCED FUND,AON KIWISAVER SCHEME,1.05,138987912.0,12004,2007-09-30,9.36,,1.21,,,,,,,,,,,,,7.93,31.06,21.19,39.82,,,,,,8.0,32.0,20.0,40.0,,,,
2018-06-30,FND1177,MILFORD ACTIVE GROWTH WHOLESALE FUND,AON KIWISAVER SCHEME,1.61,141494234.1,10897,2009-05-01,15.85,,1.77,,,,,,,,,,,,12.66,2.86,13.42,42.54,23.31,5.21,0.0,0.0,0.0,6.0,4.0,10.0,62.0,18.0,0.0,0.0,0.0,0.0
2018-06-30,FND1178,RUSSELL LIFEPOINTS® GROWTH FUND,AON KIWISAVER SCHEME,1.11,39298711.04,1629,2007-09-30,11.27,,1.27,,,,,,,,,,,,,4.92,19.27,26.34,49.47,,,,,,5.0,20.0,25.0,50.0,,,,
2018-06-30,FND1179,RUSSELL LIFEPOINTS® TARGET DATE 2015 FUND,AON KIWISAVER SCHEME,0.95,4875281.75,200,2007-09-30,4.3,,1.11,,,,,,,,,,,,,16.15,63.14,6.49,14.22,,,,,,16.0,64.0,6.0,14.0,,,,
2018-06-30,FND1180,RUSSELL LIFEPOINTS® TARGET DATE 2025 FUND,AON KIWISAVER SCHEME,0.99,19927549.87,576,2007-09-30,6.37,,1.15,,,,,,,,,,,,,13.02,49.98,12.86,24.14,,,,,,13.0,51.0,12.0,24.0,,,,
2018-06-30,FND1181,RUSSELL LIFEPOINTS® TARGET DATE 2035 FUND,AON KIWISAVER SCHEME,1.06,18804725.54,498,2007-09-30,8.86,,1.22,,,,,,,,,,,,,8.94,34.01,19.13,37.92,,,,,,9.0,35.0,18.0,38.0,,,,
2018-06-30,FND1182,RUSSELL LIFEPOINTS® TARGET DATE 2045 FUND,AON KIWISAVER SCHEME,1.1,16747125.29,935,2007-09-30,10.95,,1.26,,,,,,,,,,,,,5.92,21.2,25.33,47.55,,,,,,6.0,22.0,24.0,48.0,,,,
2018-06-30,FND1183,SUMMER GLOBAL EQUITIES,SUMMER KIWISAVER SCHEME,0.9,13824760.54,773,2016-09-19,17.37,,0.9,,,,,,,,,,,,8.1,0.0,0.0,0.0,91.9,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0
