quarter,fund_number,fund_name,scheme_name,provider,fum,members,fund_start_date,return_1yr,return_5yr_avg,fee_total,risk_indicator,return_yr1,return_yr2,return_yr3,return_yr4,return_yr5,return_yr6,return_yr7,return_yr8,return_yr9,return_yr10,alloc_cash_and_cash_equivalents,alloc_new_zealand_fixed_interest,alloc_international_fixed_interest,alloc_australasian_equities,alloc_international_equities,alloc_listed_properties,alloc_unlisted_properties,alloc_other,alloc_commodities,target_cash_and_cash_equivalents,target_new_zealand_fixed_interest,target_international_fixed_interest,target_australasian_equities,target_international_equities,target_listed_properties,target_unlisted_properties,target_other,target_commodities
2022-03-31,FND1001,STEPPING STONES 0-35,GENERATE KIWISAVER SCHEME,1,40204598.0,3617,2013-04-16,0.16,,1.37,,,,,,,,,,,,4.64,6.77,0.64,23.96,53.73,9.97,0.29,0.0,0.0,5.0,6.25,0.0,17.5,53.75,17.5,0.0,0.0,0.0
2022-03-31,FND1002,STEPPING STONES 36-45,GENERATE KIWISAVER SCHEME,1,37545235.0,1402,2013-04-16,0.12,,1.32,,,,,,,,,,,,4.2,22.25,2.1,20.87,41.65,8.68,0.25,0.0,0.0,5.0,23.13,0.0,15.25,41.37,15.25,0.0,0.0,0.0
2022-03-31,FND1003,STEPPING STONES 46-55,GENERATE KIWISAVER SCHEME,1,47665488.0,1393,2013-04-16,0.07,,1.27,,,,,,,,,,,,3.77,37.74,3.57,17.77,29.55,7.39,0.21,0.0,0.0,5.0,40.0,0.0,13.0,29.0,13.0,0.0,0.0,0.0
2022-03-31,FND1004,STEPPING STONES 56-60,GENERATE KIWISAVER SCHEME,1,22328453.0,578,2013-04-16,0.17,,1.23,,,,,,,,,,,,3.44,49.22,4.66,16.41,19.24,6.83,0.2,0.0,0.0,5.0,52.5,0.0,12.0,18.5,12.0,0.0,0.0,0.0
2022-03-31,FND1005,STEPPING STONES 61-64,GENERATE KIWISAVER SCHEME,1,12854821.0,328,2013-04-16,0.09,,1.21,,,,,,,,,,,,3.31,53.81,5.09,15.03,16.33,6.25,0.18,0.0,0.0,5.0,57.5,0.0,11.0,15.5,11.0,0.0,0.0,0.0
2022-03-31,FND10339,SHIELDED GROWTH FUND,BOOSTER KIWISAVER SCHEME,1.27,8266451.51,470,2018-05-31,3.6,,1.31,,,,,,,,,,,,4.74,1.84,2.05,27.64,59.68,3.66,0.39,,,1.0,,,33.0,55.0,5.0,6.0,,
2022-03-31,FND1050,CONSERVATIVE FUND,FISHER FUNDS KIWISAVER SCHEME,0.85,1080131362.0,75098,2009-06-12,-0.7,,0.93,,,,,,,,,,,,9.27,31.18,30.17,5.88,13.22,0.0,5.13,5.15,0.0,14.5,26.0,32.0,5.5,12.0,0.0,5.0,5.0,0.0
2022-03-31,FND1051,GROWTH FUND,FISHER FUNDS KIWISAVER SCHEME,0.95,3071246781.0,119365,2007-10-02,0.88,,2.51,,,,,,,,,,,,2.93,10.05,2.93,25.47,49.25,0.0,3.89,5.48,0.0,1.0,11.0,7.0,25.0,47.0,0.0,4.5,4.5,0.0
2022-03-31,FND1052,BALANCED STRATEGY,FISHER FUNDS KIWISAVER SCHEME,0.91,1042655088.0,37190,2009-06-12,0.1,,1.88,,,,,,,,,,,,5.48,18.5,13.83,17.63,34.84,0.0,4.38,5.34,0.0,6.4,17.0,17.0,17.2,33.0,0.0,4.7,4.7,0.0
2022-03-31,FND10584,JUNO CONSERVATIVE FUND,JUNO KIWISAVER SCHEME,0.67,25725284.51,1126,2018-08-01,-6.04,,0.67,,,,,,,,,,,,30.84,45.87,5.72,1.57,16.0,,,,,25.0,35.0,15.0,10.0,15.0,,,,
2022-03-31,FND10585,JUNO BALANCED FUND,JUNO KIWISAVER SCHEME,0.6,59969017.02,1903,2018-08-01,-11.19,,0.6,,,,,,,,,,,,26.98,22.67,3.18,4.21,42.96,,,,,10.0,20.0,10.0,20.0,40.0,,,,
2022-03-31,FND10586,JUNO GROWTH FUND,JUNO KIWISAVER SCHEME,0.62,421519590.5,14918,2018-08-01,-15.65,,0.62,,,,,,,,,,,,22.68,,,6.87,70.45,,,,,5.0,10.0,5.0,20.0,60.0,,,,
2022-03-31,FND1080,PRESERVATION FUND,FISHER FUNDS TWO KIWISAVER SCHEME,0.48,30014537.28,1382,2007-10-01,-0.39,,0.61,,,,,,,,,,,,51.98,48.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,FND1082,CASH ENHANCED FUND,FISHER FUNDS TWO KIWISAVER SCHEME,0.52,311889518.6,11294,2007-10-01,-0.86,,0.52,,,,,,,,,,,,16.65,35.02,23.9,7.0,13.29,0.0,1.95,2.19,0.0,29.5,21.0,27.0,6.5,12.0,0.0,2.0,2.0,0.0
2022-03-31,FND1083,CONSERVATIVE FUND,FISHER FUNDS TWO KIWISAVER SCHEME,0.83,194934614.1,6718,2007-10-01,-0.75,,0.92,,,,,,,,,,,,9.01,30.87,30.2,5.87,13.92,0.0,4.73,5.4,0.0,14.5,26.0,32.0,5.5,12.0,0.0,5.0,5.0,0.0
2022-03-31,FND1084,BALANCED FUND,FISHER FUNDS TWO KIWISAVER SCHEME,0.86,1187036543.0,31954,2007-10-01,0.42,,0.94,,,,,,,,,,,,2.96,18.14,16.47,14.23,35.7,0.0,5.86,6.64,0.0,3.0,17.0,20.0,14.0,34.0,0.0,6.0,6.0,0.0
2022-03-31,FND1085,GROWTH FUND,FISHER FUNDS TWO KIWISAVER SCHEME,0.97,827631350.3,25934,2007-10-01,3.04,,1.04,,,,,,,,,,,,2.77,10.14,3.02,25.26,49.64,0.0,3.84,5.33,0.0,1.0,11.0,7.0,25.0,47.0,0.0,4.5,4.5,0.0
2022-03-31,FND1086,EQUITY FUND,FISHER FUNDS TWO KIWISAVER SCHEME,1.07,242155445.4,9807,2007-10-01,1.15,,1.15,,,,,,,,,,,,3.14,0.51,0.0,38.36,57.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,60.0,0.0,0.0,0.0,0.0
2022-03-31,FND1087,GLIDEPATH AGE 25,FISHER FUNDS TWO KIWISAVER SCHEME,1.07,636844.22,55,2014-07-01,1.15,,1.15,,,,,,,,,,,,3.14,0.51,0.0,38.36,57.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,60.0,0.0,0.0,0.0,0.0
2022-03-31,FND1088,GLIDEPATH AGE 40,FISHER FUNDS TWO KIWISAVER SCHEME,1,6796625.4,199,2014-07-01,2.45,,1.08,,,,,,,,,,,,2.88,7.06,2.06,29.45,52.31,0.0,2.61,3.63,0.0,1.0,7.0,5.0,30.0,51.0,0.0,3.0,3.0,0.0
2022-03-31,FND1089,GLIDEPATH AGE 55,FISHER FUNDS TWO KIWISAVER SCHEME,0.87,9328362.87,224,2014-07-01,0.7,,0.95,,,,,,,,,,,,2.93,17.26,14.99,15.45,37.24,0.0,5.64,6.49,0.0,3.0,16.0,19.0,15.0,35.0,0.0,6.0,6.0,0.0
2022-03-31,FND1090,GLIDEPATH AGE 65,FISHER FUNDS TWO KIWISAVER SCHEME,0.84,3476973.69,83,2014-07-01,-0.55,,0.93,,,,,,,,,,,,7.99,28.7,27.87,7.29,17.62,0.0,4.92,5.61,0.0,13.0,24.0,30.0,7.0,16.0,0.0,5.0,5.0,0.0
2022-03-31,FND1091,GLIDEPATH AGE 75,FISHER FUNDS TWO KIWISAVER SCHEME,0.8,70433.58,5,2014-07-01,-0.72,,0.9,,,,,,,,,,,,12.46,32.24,27.78,5.4,12.8,0.0,4.35,4.97,0.0,17.0,28.0,29.0,5.0,11.0,0.0,5.0,5.0,0.0
2022-03-31,FND11,CASH FUND,MERCER KIWISAVER SCHEME,0.3,28989087.2,1328,2007-10-01,0.26,,0.34,,,,,,,,,,,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,FND1153,CASH FUND,MAS KIWISAVER SCHEME,0.5,13335982.0,420,2008-12-22,0.54,,0.51,,,,,,,,,,,,100.0,,,,,,,,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,FND1155,CONSERVATIVE FUND,MAS KIWISAVER SCHEME,0.85,71652339.0,2015,2007-10-01,-1.4,,1.05,,,,,,,,,,,,12.54,16.92,50.01,6.27,14.26,,,,,10.0,25.0,45.0,6.0,14.0,,,,
2022-03-31,FND1158,MODERATE FUND,MAS KIWISAVER SCHEME,0.88,81059025.0,1645,2007-10-01,-0.04,,1.07,,,,,,,,,,,,8.12,12.53,38.7,12.8,27.85,,,,,5.5,19.5,35.0,12.5,27.5,,,,
2022-03-31,FND1159,BALANCED FUND,MAS KIWISAVER SCHEME,0.96,334814024.0,5326,2007-10-01,1.45,,1.11,,,,,,,,,,,,6.0,9.04,24.21,18.75,42.0,,,,,3.5,14.0,22.5,18.5,41.5,,,,
