quarter,fund_number,fund_name,scheme_name,provider,fum,members,fund_start_date,return_1yr,return_5yr_avg,fee_total,risk_indicator,return_yr1,return_yr2,return_yr3,return_yr4,return_yr5,return_yr6,return_yr7,return_yr8,return_yr9,return_yr10,alloc_cash_and_cash_equivalents,alloc_new_zealand_fixed_interest,alloc_international_fixed_interest,alloc_australasian_equities,alloc_international_equities,alloc_listed_properties,alloc_unlisted_properties,alloc_other,alloc_commodities,target_cash_and_cash_equivalents,target_new_zealand_fixed_interest,target_international_fixed_interest,target_australasian_equities,target_international_equities,target_listed_properties,target_unlisted_properties,target_other,target_commodities
2022-12-31,FND1001,STEPPING STONES 0-35,GENERATE KIWISAVER SCHEME,1,39135402.0,3742,2013-04-16,-14.25,,1.37,,,,,,,,,,,,7.14,1.38,0.26,20.41,63.45,7.11,0.25,0.0,0.0,0.05,0.0,0.0,0.15,0.65,0.15,0.0,0.0,0.0
2022-12-31,FND1002,STEPPING STONES 36-45,GENERATE KIWISAVER SCHEME,1,37919262.0,1546,2013-04-16,-11.53,,1.32,,,,,,,,,,,,8.23,12.53,2.36,22.33,46.51,7.77,0.27,0.0,0.0,0.05,0.15,0.0,0.1625,0.475,0.1625,0.0,0.0,0.0
2022-12-31,FND1003,STEPPING STONES 46-55,GENERATE KIWISAVER SCHEME,1,48915235.0,1497,2013-04-16,-9.08,,1.27,,,,,,,,,,,,8.12,29.21,5.51,20.53,29.23,7.15,0.25,0.0,0.0,0.05,0.35,0.0,0.15,0.3,0.15,0.0,0.0,0.0
2022-12-31,FND1004,STEPPING STONES 56-60,GENERATE KIWISAVER SCHEME,1,24204586.0,606,2013-04-16,-7.15,,1.23,,,,,,,,,,,,7.94,37.43,7.06,18.56,22.32,6.46,0.23,0.0,0.0,0.05,0.45,0.0,0.135,0.23,0.135,0.0,0.0,0.0
2022-12-31,FND1005,STEPPING STONES 61-64,GENERATE KIWISAVER SCHEME,1,13217829.0,367,2013-04-16,-6.46,,1.21,,,,,,,,,,,,7.76,45.66,8.61,16.58,15.42,5.77,0.2,0.0,0.0,0.05,0.55,0.0,0.12,0.16,0.12,0.0,0.0,0.0
2022-12-31,FND10339,SHIELDED GROWTH FUND,BOOSTER KIWISAVER SCHEME,1.27,8162723.69,509,2018-05-31,-14.47,,1.31,,,,,,,,,,,,3.71,1.69,2.67,28.48,59.37,3.37,0.71,,,0.01,,,0.33,0.55,0.05,0.06,,
2022-12-31,FND1050,CONSERVATIVE FUND,FISHER FUNDS KIWISAVER SCHEME,0.85,1060395228.0,75346,2009-06-12,-8.21,,0.93,,,,,,,,,,,,8.81,31.27,32.19,5.82,12.19,0.0,4.66,5.06,0.0,14.5,26.0,32.0,5.5,12.0,0.0,5.0,5.0,0.0
2022-12-31,FND1051,GROWTH FUND,FISHER FUNDS KIWISAVER SCHEME,0.95,2909707837.0,120069,2007-10-02,-15.4,,1.45,,,,,,,,,,,,3.36,11.14,4.3,25.52,46.75,0.0,3.88,5.05,0.0,1.0,11.0,7.0,25.0,47.0,0.0,4.5,4.5,0.0
2022-12-31,FND1052,BALANCED STRATEGY,FISHER FUNDS KIWISAVER SCHEME,0.91,992036122.9,36922,2009-06-12,-12.52,,1.24,,,,,,,,,,,,5.53,19.2,15.46,17.64,32.93,0.0,4.19,5.05,0.0,6.4,17.0,17.0,17.2,33.0,0.0,4.7,4.7,0.0
2022-12-31,FND10584,JUNO CONSERVATIVE FUND,JUNO KIWISAVER SCHEME,0.67,28767522.01,1299,2018-08-01,-9.27,,0.67,,,,,,,,,,,,30.32,40.31,10.61,1.92,15.82,1.02,,,,0.25,0.35,0.15,0.05,0.15,0.05,,,
