quarter,fund_number,fund_name,scheme_name,provider,fum,members,fund_start_date,return_1yr,return_5yr_avg,fee_total,risk_indicator,return_yr1,return_yr2,return_yr3,return_yr4,return_yr5,return_yr6,return_yr7,return_yr8,return_yr9,return_yr10,alloc_cash_and_cash_equivalents,alloc_new_zealand_fixed_interest,alloc_international_fixed_interest,alloc_australasian_equities,alloc_international_equities,alloc_listed_properties,alloc_unlisted_properties,alloc_other,alloc_commodities,target_cash_and_cash_equivalents,target_new_zealand_fixed_interest,target_international_fixed_interest,target_australasian_equities,target_international_equities,target_listed_properties,target_unlisted_properties,target_other,target_commodities
2020-12-31,FND1001,STEPPING STONES 0-35,GENERATE KIWISAVER SCHEME,1.00,32499171.0,3093,2013-04-16,7.71,,1.51,,,,,,,,,,,,4.37,7.28,0.0,21.84,53.94,12.33,0.24,0.0,0.0,5.0,6.0,0.0,18.0,54.0,18.0,0.0,0.0,0.0
2020-12-31,FND1002,STEPPING STONES 36-45,GENERATE KIWISAVER SCHEME,1.00,31741333.0,1183,2013-04-16,6.8,,1.42,,,,,,,,,,,,4.27,23.81,0.0,18.98,42.0,10.73,0.21,0.0,0.0,5.0,23.13,0.0,15.25,41.37,15.25,0.0,0.0,0.0
2020-12-31,FND1003,STEPPING STONES 46-55,GENERATE KIWISAVER SCHEME,1.00,39088119.0,1198,2013-04-16,5.9,,1.34,,,,,,,,,,,,4.16,40.34,0.0,16.11,30.06,9.15,0.18,0.0,0.0,5.0,40.0,0.0,13.0,29.0,13.0,0.0,0.0,0.0
2020-12-31,FND1004,STEPPING STONES 56-60,GENERATE KIWISAVER SCHEME,1.00,17367052.0,475,2013-04-16,5.25,,1.27,,,,,,,,,,,,4.15,52.58,0.0,14.64,20.09,8.37,0.17,0.0,0.0,5.0,52.5,0.0,12.0,18.5,12.0,0.0,0.0,0.0
2020-12-31,FND1005,STEPPING STONES 61-64,GENERATE KIWISAVER SCHEME,1.00,9905337.0,272,2013-04-16,4.97,,1.25,,,,,,,,,,,,4.08,57.48,0.0,13.47,17.11,7.7,0.16,0.0,0.0,5.0,57.5,0.0,11.0,15.5,11.0,0.0,0.0,0.0
2020-12-31,FND10339,SHIELDED GROWTH FUND,BOOSTER KIWISAVER SCHEME,1.27,5019523.49,354,2018-05-31,11.44,,1.33,,,,,,,,,,,,5.05,2.3,2.86,26.66,58.25,4.43,0.45,,,1.0,,,33.0,52.0,8.0,6.0,,
2020-12-31,FND1050,CONSERVATIVE FUND,FISHER FUNDS KIWISAVER SCHEME,0.86,1024681733.46,75072,2009-06-12,5.06,,0.94,,,,,,,,,,,,17.27,28.77,25.46,7.67,14.78,1.01,5.04,0.0,0.0,19.5,18.0,35.0,5.5,12.0,5.0,5.0,0.0,0.0
2020-12-31,FND1051,GROWTH FUND,FISHER FUNDS KIWISAVER SCHEME,0.96,2580318074.99,114029,2007-10-02,11.84,,1.23,,,,,,,,,,,,6.57,9.91,4.87,30.58,43.06,0.87,4.14,0.0,0.0,5.0,6.0,9.0,29.0,42.0,4.5,4.5,0.0,0.0
2020-12-31,FND1052,BALANCED STRATEGY,FISHER FUNDS KIWISAVER SCHEME,0.92,903259034.21,37259,2009-06-12,8.89,,1.1,,,,,,,,,,,,11.38,18.4,14.14,20.27,30.33,0.93,4.55,0.0,0.0,11.5,11.0,21.0,18.0,28.5,5.0,5.0,0.0,0.0
2020-12-31,FND10584,JUNO CONSERVATIVE FUND,JUNO KIWISAVER SCHEME,0.42,15344252.86,679,2018-08-01,8.77,,0.42,,,,,,,,,,,,38.37,39.77,,4.0,17.86,,,,,65.0,,10.0,,25.0,,,,
