quarter,fund_number,fund_name,scheme_name,provider,fum,members,fund_start_date,return_1yr,return_5yr_avg,fee_total,risk_indicator,return_yr1,return_yr2,return_yr3,return_yr4,return_yr5,return_yr6,return_yr7,return_yr8,return_yr9,return_yr10,alloc_cash_and_cash_equivalents,alloc_new_zealand_fixed_interest,alloc_international_fixed_interest,alloc_australasian_equities,alloc_international_equities,alloc_listed_properties,alloc_unlisted_properties,alloc_other,alloc_commodities,target_cash_and_cash_equivalents,target_new_zealand_fixed_interest,target_international_fixed_interest,target_australasian_equities,target_international_equities,target_listed_properties,target_unlisted_properties,target_other,target_commodities
2021-12-31,FND1001,STEPPING STONES 0-35,GENERATE KIWISAVER SCHEME,1,42421271.0,3572,2013-04-16,9.4,,1.47,,,,,,,,,,,,4.39,6.71,0.37,19.63,58.09,10.53,0.28,0.0,0.0,5.0,6.25,0.0,17.5,53.75,17.5,0.0,0.0,0.0
2021-12-31,FND1002,STEPPING STONES 36-45,GENERATE KIWISAVER SCHEME,1,39048191.0,1364,2013-04-16,7.47,,1.39,,,,,,,,,,,,4.17,22.49,1.23,17.05,45.67,9.15,0.24,0.0,0.0,5.0,23.13,0.0,15.25,41.37,15.25,0.0,0.0,0.0
2021-12-31,FND1003,STEPPING STONES 46-55,GENERATE KIWISAVER SCHEME,1,48170179.0,1361,2013-04-16,5.54,,1.31,,,,,,,,,,,,3.95,38.26,2.1,14.48,33.24,7.77,0.2,0.0,0.0,5.0,40.0,0.0,13.0,29.0,13.0,0.0,0.0,0.0
2021-12-31,FND1004,STEPPING STONES 56-60,GENERATE KIWISAVER SCHEME,1,22530281.0,569,2013-04-16,4.04,,1.25,,,,,,,,,,,,3.81,49.93,2.74,13.3,22.89,7.14,0.19,0.0,0.0,5.0,52.5,0.0,12.0,18.5,12.0,0.0,0.0,0.0
2021-12-31,FND1005,STEPPING STONES 61-64,GENERATE KIWISAVER SCHEME,1,12900824.0,323,2013-04-16,3.5,,1.23,,,,,,,,,,,,3.73,54.62,2.99,12.17,19.79,6.53,0.17,0.0,0.0,5.0,57.5,0.0,11.0,15.5,11.0,0.0,0.0,0.0
2021-12-31,FND10339,SHIELDED GROWTH FUND,BOOSTER KIWISAVER SCHEME,1.27,8263159.61,462,2018-05-31,12.64,,1.33,,,,,,,,,,,,7.51,1.76,0.93,26.74,58.59,4.07,0.4,,,1.0,,,33.0,52.0,8.0,6.0,,
2021-12-31,FND1050,CONSERVATIVE FUND,FISHER FUNDS KIWISAVER SCHEME,0.85,1155000305.0,74798,2009-06-12,3.45,,0.93,,,,,,,,,,,,15.61,27.42,29.82,5.36,11.95,0.0,4.61,5.23,0.0,14.5,26.0,32.0,5.5,12.0,0.0,5.0,5.0,0.0
2021-12-31,FND1051,GROWTH FUND,FISHER FUNDS KIWISAVER SCHEME,0.95,3220867781.0,118959,2007-10-02,12.31,,2.51,,,,,,,,,,,,8.83,9.4,4.83,23.73,44.52,0.0,3.56,5.13,0.0,1.0,11.0,7.0,25.0,47.0,0.0,4.5,4.5,0.0
2021-12-31,FND1052,BALANCED STRATEGY,FISHER FUNDS KIWISAVER SCHEME,0.91,1097957277.0,37247,2009-06-12,8.35,,1.88,,,,,,,,,,,,11.55,16.61,14.82,16.38,31.49,0.0,3.98,5.17,0.0,6.4,17.0,17.0,17.2,33.0,0.0,4.7,4.7,0.0
2021-12-31,FND10584,JUNO CONSERVATIVE FUND,JUNO KIWISAVER SCHEME,0.49,22148654.91,845,2018-08-01,-0.4,,0.49,,,,,,,,,,,,32.42,46.61,1.1,1.86,18.01,,,,,65.0,,10.0,,25.0,,,,
2021-12-31,FND10585,JUNO BALANCED FUND,JUNO KIWISAVER SCHEME,0.43,65380143.73,1856,2018-08-01,1.07,,0.43,,,,,,,,,,,,23.22,21.87,2.87,4.87,47.17,,,,,20.0,,20.0,,60.0,,,,
2021-12-31,FND10586,JUNO GROWTH FUND,JUNO KIWISAVER SCHEME,0.47,495269604.1,15154,2018-08-01,3.52,,0.47,,,,,,,,,,,,15.83,,,7.87,76.3,,,,,10.0,,10.0,,80.0,,,,
2021-12-31,FND1080,PRESERVATION FUND,FISHER FUNDS TWO KIWISAVER SCHEME,0.48,28732715.65,1374,2007-10-01,-0.17,,0.61,,,,,,,,,,,,65.12,34.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-31,FND1082,CASH ENHANCED FUND,FISHER FUNDS TWO KIWISAVER SCHEME,0.52,326498959.6,11533,2007-10-01,2.84,,0.52,,,,,,,,,,,,24.23,29.99,23.7,6.23,11.93,0.0,1.8,2.12,0.0,29.5,21.0,27.0,6.5,12.0,0.0,2.0,2.0,0.0
2021-12-31,FND1083,CONSERVATIVE FUND,FISHER FUNDS TWO KIWISAVER SCHEME,0.83,196084560.1,6610,2007-10-01,3.46,,0.92,,,,,,,,,,,,15.67,27.47,29.85,5.3,12.03,0.0,4.53,5.15,0.0,14.5,26.0,32.0,5.5,12.0,0.0,5.0,5.0,0.0
2021-12-31,FND1084,BALANCED FUND,FISHER FUNDS TWO KIWISAVER SCHEME,0.86,1255964968.0,32210,2007-10-01,8.86,,0.94,,,,,,,,,,,,7.96,16.75,17.41,13.37,32.83,0.0,5.35,6.33,0.0,3.0,17.0,20.0,14.0,34.0,0.0,6.0,6.0,0.0
2021-12-31,FND1085,GROWTH FUND,FISHER FUNDS TWO KIWISAVER SCHEME,0.97,862199065.8,26070,2007-10-01,11.78,,1.04,,,,,,,,,,,,9.83,9.4,4.86,23.89,43.21,0.0,3.55,5.26,0.0,1.0,11.0,7.0,25.0,47.0,0.0,4.5,4.5,0.0
2021-12-31,FND1086,EQUITY FUND,FISHER FUNDS TWO KIWISAVER SCHEME,1.07,262790045.1,9895,2007-10-01,16.67,,1.15,,,,,,,,,,,,8.41,0.34,0.0,37.42,53.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,60.0,0.0,0.0,0.0,0.0
2021-12-31,FND1087,GLIDEPATH AGE 25,FISHER FUNDS TWO KIWISAVER SCHEME,1.07,668307.56,54,2014-07-01,16.67,,1.15,,,,,,,,,,,,8.41,0.34,0.0,37.42,53.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,60.0,0.0,0.0,0.0,0.0
2021-12-31,FND1088,GLIDEPATH AGE 40,FISHER FUNDS TWO KIWISAVER SCHEME,1,7439434.14,203,2014-07-01,13.34,,1.08,,,,,,,,,,,,9.38,6.5,3.3,28.22,46.61,0.0,2.41,3.58,0.0,1.0,7.0,5.0,30.0,51.0,0.0,3.0,3.0,0.0
2021-12-31,FND1089,GLIDEPATH AGE 55,FISHER FUNDS TWO KIWISAVER SCHEME,0.87,8721996.19,223,2014-07-01,9.18,,0.95,,,,,,,,,,,,8.17,15.94,16.03,14.53,33.97,0.0,5.15,6.21,0.0,3.0,16.0,19.0,15.0,35.0,0.0,6.0,6.0,0.0
2021-12-31,FND1090,GLIDEPATH AGE 65,FISHER FUNDS TWO KIWISAVER SCHEME,0.84,3921930.88,82,2014-07-01,4.36,,0.93,,,,,,,,,,,,14.36,25.65,27.74,6.67,15.56,0.0,4.67,5.35,0.0,13.0,24.0,30.0,7.0,16.0,0.0,5.0,5.0,0.0
2021-12-31,FND1091,GLIDEPATH AGE 75,FISHER FUNDS TWO KIWISAVER SCHEME,0.8,217032.21,5,2014-07-01,3.17,,0.9,,,,,,,,,,,,19.63,28.06,27.46,4.87,11.07,0.0,4.17,4.74,0.0,17.0,28.0,29.0,5.0,11.0,0.0,5.0,5.0,0.0
2021-12-31,FND11,CASH FUND,MERCER KIWISAVER SCHEME,0.3,26355450.69,1302,2007-10-01,0.16,,0.34,,,,,,,,,,,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-31,FND1153,CASH FUND,MAS KIWISAVER SCHEME,0.5,11191041.0,405,2008-12-22,0.5,,0.51,,,,,,,,,,,,100.0,,,,,,,,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-31,FND1155,CONSERVATIVE FUND,MAS KIWISAVER SCHEME,1,73940539.0,2036,2007-10-01,2.55,,1.2,,,,,,,,,,,,12.25,16.3,51.08,6.12,14.25,,,,,10.0,25.0,45.0,6.0,14.0,0.0,0.0,0.0,0.0
2021-12-31,FND1158,MODERATE FUND,MAS KIWISAVER SCHEME,1,84013219.0,1667,2007-10-01,5.65,,1.2,,,,,,,,,,,,8.61,12.17,38.74,12.58,27.9,,,,,5.5,19.5,35.0,12.5,27.5,0.0,0.0,0.0,0.0
