quarter,fund_number,fund_name,scheme_name,provider,fum,members,fund_start_date,return_1yr,return_5yr_avg,fee_total,risk_indicator,return_yr1,return_yr2,return_yr3,return_yr4,return_yr5,return_yr6,return_yr7,return_yr8,return_yr9,return_yr10,alloc_cash_and_cash_equivalents,alloc_new_zealand_fixed_interest,alloc_international_fixed_interest,alloc_australasian_equities,alloc_international_equities,alloc_listed_properties,alloc_unlisted_properties,alloc_other,alloc_commodities,target_cash_and_cash_equivalents,target_new_zealand_fixed_interest,target_international_fixed_interest,target_australasian_equities,target_international_equities,target_listed_properties,target_unlisted_properties,target_other,target_commodities
2020-03-31,FND10339,SHIELDED GROWTH FUND,BOOSTER KIWISAVER SCHEME,1.27,2306032.43,227,2018-05-31,-2.16,,1.33,,,,,,,,,,,,8.06,2.19,3.23,25.93,56.15,3.31,1.13,,,1.0,,,33.0,52.0,8.0,6.0,,
2020-03-31,FND1050,CONSERVATIVE FUND,FISHER FUNDS KIWISAVER SCHEME,0.85,888119759.98,75011,2009-06-12,1.16,,0.95,,,,,,,,,,,,16.24,33.74,26.48,6.48,11.36,0.55,5.15,0.0,0.0,19.5,18.0,35.0,5.5,12.0,5.0,5.0,0.0,0.0
2020-03-31,FND1051,GROWTH FUND,FISHER FUNDS KIWISAVER SCHEME,0.95,1879895946.24,112555,2007-10-02,-1.02,,1.41,,,,,,,,,,,,11.6,11.77,5.07,29.34,36.26,0.58,5.38,0.0,0.0,5.0,6.0,9.0,29.0,42.0,4.5,4.5,0.0,0.0
2020-03-31,FND1052,BALANCED STRATEGY,FISHER FUNDS KIWISAVER SCHEME,0.91,722656721.3,39420,2009-06-12,0.07,,1.21,,,,,,,,,,,,13.67,21.66,14.71,19.05,25.06,0.57,5.28,0.0,0.0,11.5,11.0,21.0,18.0,28.5,5.0,5.0,0.0,0.0
2020-03-31,FND10584,JUNO CONSERVATIVE FUND,JUNO KIWISAVER SCHEME,0.42,13104374.27,746,2018-08-01,2.26,,0.42,,,,,,,,,,,,85.42,,0.94,2.41,11.23,,,,,65.0,,10.0,,25.0,,,,
2020-03-31,FND10585,JUNO BALANCED FUND,JUNO KIWISAVER SCHEME,0.34,21992433.72,915,2018-08-01,4.56,,0.34,,,,,,,,,,,,59.24,,2.62,6.73,31.41,,,,,20.0,,20.0,,60.0,,,,
2020-03-31,FND10586,JUNO GROWTH FUND,JUNO KIWISAVER SCHEME,0.35,90202501.97,4204,2018-08-01,8.71,,0.35,,,,,,,,,,,,35.28,,,11.42,53.3,,,,,10.0,,10.0,,80.0,,,,
2020-03-31,FND1080,PRESERVATION FUND,FISHER FUNDS TWO KIWISAVER SCHEME,0.48,33510285.97,1632,2007-10-01,0.97,,0.63,,,,,,,,,,,,46.61,53.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,FND1082,CASH ENHANCED FUND,FISHER FUNDS TWO KIWISAVER SCHEME,0.56,676502490.69,51726,2007-10-01,1.38,,0.56,,,,,,,,,,,,20.29,41.9,18.4,6.54,10.14,0.24,2.49,0.0,0.0,29.5,21.0,27.0,6.5,12.0,2.0,2.0,0.0,0.0
2020-03-31,FND1083,CONSERVATIVE FUND,FISHER FUNDS TWO KIWISAVER SCHEME,0.84,154490973.28,6732,2007-10-01,0.91,,0.93,,,,,,,,,,,,15.39,33.58,26.84,6.85,11.77,0.62,4.95,0.0,0.0,19.5,18.0,35.0,5.5,12.0,5.0,5.0,0.0,0.0
2020-03-31,FND1084,BALANCED FUND,FISHER FUNDS TWO KIWISAVER SCHEME,0.87,822899331.2,30957,2007-10-01,0.08,,0.97,,,,,,,,,,,,10.22,19.54,19.31,17.18,26.56,0.75,6.44,0.0,0.0,6.0,12.0,25.0,16.0,29.0,6.0,6.0,0.0,0.0
2020-03-31,FND1085,GROWTH FUND,FISHER FUNDS TWO KIWISAVER SCHEME,0.99,469745865.03,21906,2007-10-01,-1.12,,1.09,,,,,,,,,,,,13.04,13.94,5.4,26.59,32.22,0.0,8.81,0.0,0.0,10.0,6.0,9.0,27.0,40.0,0.0,8.0,0.0,0.0
2020-03-31,FND1086,EQUITY FUND,FISHER FUNDS TWO KIWISAVER SCHEME,1.09,135476486.5,8740,2007-10-01,-1.17,,1.21,,,,,,,,,,,,11.03,2.99,0.0,37.8,48.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,60.0,0.0,0.0,0.0,0.0
2020-03-31,FND1087,GLIDEPATH AGE 25,FISHER FUNDS TWO KIWISAVER SCHEME,1.09,428534.38,50,2014-07-01,-1.17,,1.21,,,,,,,,,,,,11.03,2.99,0.0,37.8,48.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,60.0,0.0,0.0,0.0,0.0
2020-03-31,FND1088,GLIDEPATH AGE 40,FISHER FUNDS TWO KIWISAVER SCHEME,1.02,4089608.34,201,2014-07-01,-1.09,,1.13,,,,,,,,,,,,12.38,10.44,3.68,30.18,37.33,0.0,5.99,0.0,0.0,7.0,4.0,6.0,31.0,47.0,0.0,5.0,0.0,0.0
2020-03-31,FND1089,GLIDEPATH AGE 55,FISHER FUNDS TWO KIWISAVER SCHEME,0.88,4752023.25,179,2014-07-01,-0.05,,0.98,,,,,,,,,,,,10.54,18.92,17.78,18.21,27.18,0.67,6.7,0.0,0.0,7.0,12.0,23.0,17.0,30.0,5.0,6.0,0.0,0.0
2020-03-31,FND1090,GLIDEPATH AGE 65,FISHER FUNDS TWO KIWISAVER SCHEME,0.85,1624809.04,47,2014-07-01,0.79,,0.94,,,,,,,,,,,,14.52,31.19,25.56,8.6,14.28,0.65,5.2,0.0,0.0,17.0,17.0,34.0,7.0,15.0,5.0,5.0,0.0,0.0
2020-03-31,FND1091,GLIDEPATH AGE 75,FISHER FUNDS TWO KIWISAVER SCHEME,0.81,25749.49,2,2014-07-01,0.92,,0.9,,,,,,,,,,,,17.89,35.16,24.7,6.3,10.83,0.57,4.55,0.0,0.0,22.0,20.0,32.0,5.0,11.0,5.0,5.0,0.0,0.0
2020-03-31,FND11,MERCER CASH FUND,MERCER KIWISAVER SCHEME,0.32,34751045.88,1412,2007-10-01,1.11,,0.37,,,,,,,,,,,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,FND1165,NIKKO CASH FUND,AON KIWISAVER SCHEME,0.66,2569858.92,137,2007-10-31,0.89,,0.79,,,,,,,,,,,,100.0,,,,,,,,,100.0,,,,,,,,
2020-03-31,FND1166,RUSSELL LIFEPOINTS® CONSERVATIVE FUND,AON KIWISAVER SCHEME,0.91,72634973.47,8409,2007-09-30,0.65,,1.03,,,,,,,,,,,,,16.59,63.61,5.61,14.19,,,,,,16.0,64.0,6.0,14.0,,,,
2020-03-31,FND1173,RUSSELL LIFEPOINTS® MODERATE FUND,AON KIWISAVER SCHEME,0.97,25334199.21,924,2007-09-30,-1.02,,1.09,,,,,,,,,,,,,12.51,47.95,13.1,26.44,,,,,,12.0,48.0,14.0,26.0,,,,
2020-03-31,FND1174,ANZ BALANCED FUND,AON KIWISAVER SCHEME,1.27,29638680.89,1079,2007-09-30,-2.87,,1.39,,,,,,,,,,,,13.16,9.31,18.89,12.65,36.64,7.01,,2.34,,8.0,9.7,22.3,13.7,37.0,7.0,,2.3,
2020-03-31,FND1175,NIKKO BALANCED FUND,AON KIWISAVER SCHEME,1.22,9624060.53,502,2007-10-31,-3.91,,1.34,,,,,,,,,,,,,20.28,11.13,20.63,25.23,4.41,,18.32,,,18.0,10.0,21.0,26.0,5.0,,20.0,
