quarter,fund_number,fund_name,scheme_name,provider,fum,members,fund_start_date,return_1yr,return_5yr_avg,fee_total,risk_indicator,return_yr1,return_yr2,return_yr3,return_yr4,return_yr5,return_yr6,return_yr7,return_yr8,return_yr9,return_yr10,alloc_cash_and_cash_equivalents,alloc_new_zealand_fixed_interest,alloc_international_fixed_interest,alloc_australasian_equities,alloc_international_equities,alloc_listed_properties,alloc_unlisted_properties,alloc_other,alloc_commodities,target_cash_and_cash_equivalents,target_new_zealand_fixed_interest,target_international_fixed_interest,target_australasian_equities,target_international_equities,target_listed_properties,target_unlisted_properties,target_other,target_commodities
2021-03-31,FND1001,STEPPING STONES 0-35,GENERATE KIWISAVER SCHEME,1.00,34012927.0,3170,2013-04-16,26.82,,1.47,,,,,,,,,,,,4.73,6.48,0.0,20.78,56.56,11.23,0.22,0.0,0.0,5.0,6.25,0.0,17.5,53.75,17.5,0.0,0.0,0.0
2021-03-31,FND1002,STEPPING STONES 36-45,GENERATE KIWISAVER SCHEME,1.00,32783165.0,1220,2013-04-16,22.18,,1.39,,,,,,,,,,,,5.37,21.98,0.0,18.23,44.31,9.91,0.2,0.0,0.0,5.0,23.13,0.0,15.25,41.37,15.25,0.0,0.0,0.0
2021-03-31,FND1003,STEPPING STONES 46-55,GENERATE KIWISAVER SCHEME,1.00,40294130.0,1225,2013-04-16,17.53,,1.31,,,,,,,,,,,,6.01,37.48,0.0,15.68,32.05,8.61,0.17,0.0,0.0,5.0,40.0,0.0,13.0,29.0,13.0,0.0,0.0,0.0
2021-03-31,FND1004,STEPPING STONES 56-60,GENERATE KIWISAVER SCHEME,1.00,18413868.0,502,2013-04-16,14.21,,1.25,,,,,,,,,,,,6.59,48.89,0.0,14.45,21.9,8.01,0.16,0.0,0.0,5.0,52.5,0.0,12.0,18.5,12.0,0.0,0.0,0.0
2021-03-31,FND1005,STEPPING STONES 61-64,GENERATE KIWISAVER SCHEME,1.00,10517372.0,281,2013-04-16,12.78,,1.23,,,,,,,,,,,,6.73,53.51,0.0,13.36,18.8,7.45,0.15,0.0,0.0,5.0,57.5,0.0,11.0,15.5,11.0,0.0,0.0,0.0
2021-03-31,FND10339,SHIELDED GROWTH FUND,BOOSTER KIWISAVER SCHEME,1.27,5817027.52,400,2018-05-31,28.39,,1.33,,,,,,,,,,,,5.59,2.18,1.65,26.09,59.41,4.57,0.51,,,1.0,,,33.0,52.0,8.0,6.0,,
2021-03-31,FND1050,CONSERVATIVE FUND,FISHER FUNDS KIWISAVER SCHEME,0.86,1038367694.0,74756,2009-06-12,8.8,,0.94,,,,,,,,,,,,16.68,29.69,26.09,7.91,14.84,0.96,3.83,0.0,0.0,19.5,18.0,35.0,5.5,12.0,5.0,5.0,0.0,0.0
2021-03-31,FND1051,GROWTH FUND,FISHER FUNDS KIWISAVER SCHEME,0.96,2735282247.78,114822,2007-10-02,29.19,,1.23,,,,,,,,,,,,7.56,9.97,4.83,30.97,42.58,0.85,3.24,0.0,0.0,5.0,6.0,9.0,29.0,42.0,4.5,4.5,0.0,0.0
2021-03-31,FND1052,BALANCED STRATEGY,FISHER FUNDS KIWISAVER SCHEME,0.92,948238610.46,37013,2009-06-12,19.63,,1.1,,,,,,,,,,,,11.65,18.85,14.4,20.59,30.1,0.9,3.51,0.0,0.0,11.5,11.0,21.0,18.0,28.5,5.0,5.0,0.0,0.0
2021-03-31,FND10584,JUNO CONSERVATIVE FUND,JUNO KIWISAVER SCHEME,0.49,15545831.25,707,2018-08-01,10.87,,0.49,,,,,,,,,,,,34.11,48.09,,2.15,15.65,,,,,65.0,,10.0,,25.0,,,,
