quarter,fund_number,fund_name,scheme_name,provider,fum,members,fund_start_date,return_1yr,return_5yr_avg,fee_total,risk_indicator,return_yr1,return_yr2,return_yr3,return_yr4,return_yr5,return_yr6,return_yr7,return_yr8,return_yr9,return_yr10,alloc_cash_and_cash_equivalents,alloc_new_zealand_fixed_interest,alloc_international_fixed_interest,alloc_australasian_equities,alloc_international_equities,alloc_listed_properties,alloc_unlisted_properties,alloc_other,alloc_commodities,target_cash_and_cash_equivalents,target_new_zealand_fixed_interest,target_international_fixed_interest,target_australasian_equities,target_international_equities,target_listed_properties,target_unlisted_properties,target_other,target_commodities
2016-03-31,FND119,AMP DEFAULT FUND,AMP KIWISAVER SCHEME,AMP KIWISAVER SCHEME,1219050094.18,120948,2007-10-01,2.35,,0.41,,,,,,,,,,,,46.32,14.73,14.7,7.1,17.15,0.0,0.0,0.0,0.0,45.0,17.5,17.5,7.0,13.0,0.0,0.0,0.0,0.0
2016-03-31,FND130,CASH FUND,AMP KIWISAVER SCHEME,AMP KIWISAVER SCHEME,76887583.39,4713,2007-10-01,1.95,,0.72,,,,,,,,,,,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,FND131,AMP CONSERVATIVE FUND,AMP KIWISAVER SCHEME,AMP KIWISAVER SCHEME,272510098.61,12644,2007-10-01,1.45,,0.88,,,,,,,,,,,,26.42,21.92,21.87,5.09,15.39,5.08,0.0,2.2,2.03,25.0,25.0,25.0,5.0,11.0,4.5,0.0,2.5,2.0
2016-03-31,FND132,AMP MODERATE FUND,AMP KIWISAVER SCHEME,AMP KIWISAVER SCHEME,322921672.29,12607,2007-10-01,0.87,,0.97,,,,,,,,,,,,19.57,17.87,17.85,9.63,23.91,5.62,0.0,3.01,2.54,18.0,21.0,21.0,9.5,19.5,5.5,0.0,3.0,2.5
2016-03-31,FND133,AMP MODERATE BALANCED FUND,AMP KIWISAVER SCHEME,AMP KIWISAVER SCHEME,458539789.5,18916,2007-10-01,0.66,,1.02,,,,,,,,,,,,15.97,14.7,14.64,12.59,29.48,6.69,0.0,3.44,2.49,14.0,18.0,18.0,12.5,25.0,6.5,0.0,3.5,2.5
2016-03-31,FND134,AMP BALANCED FUND,AMP KIWISAVER SCHEME,AMP KIWISAVER SCHEME,689576576.17,30458,2007-10-01,0.13,,1.01,,,,,,,,,,,,11.62,11.87,11.84,15.26,34.85,7.49,0.0,4.04,3.03,10.0,15.0,15.0,15.0,31.0,7.0,0.0,4.0,3.0
2016-03-31,FND135,AMP GROWTH FUND,AMP KIWISAVER SCHEME,AMP KIWISAVER SCHEME,513359611.05,28134,2007-10-01,-0.77,,1.01,,,,,,,,,,,,7.16,4.03,4.09,19.46,46.66,9.53,0.0,5.08,3.99,6.0,7.0,7.0,19.0,43.0,9.0,0.0,5.0,4.0
2016-03-31,FND136,AMP AGGRESSIVE FUND,AMP KIWISAVER SCHEME,AMP KIWISAVER SCHEME,222371510.23,22751,2007-10-01,-1.07,,1.1,,,,,,,,,,,,4.08,0.51,0.53,22.87,52.19,10.04,0.0,5.75,4.03,5.0,2.5,2.5,22.5,48.5,9.5,0.0,5.5,4.0
2016-03-31,FND137,ANZ BALANCED PLUS FUND,AMP KIWISAVER SCHEME,AMP KIWISAVER SCHEME,174178391.49,5873,2007-10-01,3.4,,1.16,,,,,,,,,,,,15.39,9.54,17.39,13.91,33.28,10.34,0.0,0.15,0.0,6.0,9.0,20.0,16.0,39.0,10.0,0.0,0.0,0.0
2016-03-31,FND138,FISHER BALANCED FUND,AMP KIWISAVER SCHEME,AMP KIWISAVER SCHEME,27147574.74,1266,2007-10-01,4.84,,1.27,,,,,,,,,,,,9.88,24.67,12.2,23.06,19.93,0.0,10.25,0.0,0.0,16.0,12.0,15.0,23.5,23.5,0.0,10.0,0.0,0.0
2016-03-31,FND139,NIKKO AM BALANCED FUND,AMP KIWISAVER SCHEME,AMP KIWISAVER SCHEME,29460720.56,1181,2007-10-01,7.31,,1.33,,,,,,,,,,,,4.92,9.83,12.74,22.09,25.75,5.06,0.0,19.61,0.0,5.0,10.0,13.0,21.0,26.0,5.0,0.0,20.0,0.0
2016-03-31,FND11,MERCER CASH FUND,MERCER KIWISAVER SCHEME,MERCER KIWISAVER SCHEME,15333940.7,1233,2007-10-01,2.28,,0.38,,,,,,,,,,,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,FND13,MERCER CONSERVATIVE FUND,MERCER KIWISAVER SCHEME,MERCER KIWISAVER SCHEME,978963642.32,85034,2007-10-01,3.58,,0.56,,,,,,,,,,,,36.12,14.82,28.83,4.21,12.38,0.47,1.17,1.7,0.3,30.0,15.0,35.0,5.0,11.0,0.88,0.87,1.75,0.5
2016-03-31,FND14,MERCER MODERATE FUND,MERCER KIWISAVER SCHEME,MERCER KIWISAVER SCHEME,33607014.28,1690,2015-02-18,3.26,,0.68,,,,,,,,,,,,27.68,12.83,22.37,6.17,18.86,1.06,2.61,7.48,0.94,24.0,13.0,28.0,7.0,16.0,2.0,2.0,7.0,1.0
2016-03-31,FND15,MERCER BALANCED FUND,MERCER KIWISAVER SCHEME,MERCER KIWISAVER SCHEME,240303681.64,11564,2007-10-01,3.52,,0.81,,,,,,,,,,,,14.92,9.65,18.32,9.34,31.13,2.16,3.51,9.6,1.37,10.0,10.0,25.0,10.0,28.5,3.0,3.0,9.0,1.5
2016-03-31,FND16,MERCER GROWTH FUND,MERCER KIWISAVER SCHEME,MERCER KIWISAVER SCHEME,25973743.99,1439,2015-02-18,3.24,,0.87,,,,,,,,,,,,6.81,4.8,10.69,11.69,46.52,2.6,4.37,10.63,1.89,4.0,5.0,16.0,12.0,44.0,3.5,3.5,10.0,2.0
2016-03-31,FND17,MERCER HIGH GROWTH FUND,MERCER KIWISAVER SCHEME,MERCER KIWISAVER SCHEME,95642907.28,5510,2007-10-01,3.91,,0.91,,,,,,,,,,,,3.21,1.92,2.35,17.41,56.17,2.15,4.18,10.76,1.85,2.0,2.0,6.0,18.0,53.0,3.5,3.5,10.0,2.0
2016-03-31,FND18,MERCER SHARES FUND,MERCER KIWISAVER SCHEME,MERCER KIWISAVER SCHEME,9051101.73,541,2015-02-18,3.73,,0.94,,,,,,,,,,,,1.44,0.0,0.0,25.27,73.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,74.0,0.0,0.0,0.0,0.0
2016-03-31,FND32,CASH FUND,NEW ZEALAND DEFENCE FORCE KIWISAVER SCHEME,NEW ZEALAND DEFENCE FORCE KIWISAVER SCHEME,74387.67,18,2015-10-09,,,0.55,,,,,,,,,,,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
2016-03-31,FND33,CONSERVATIVE FUND,NEW ZEALAND DEFENCE FORCE KIWISAVER SCHEME,NEW ZEALAND DEFENCE FORCE KIWISAVER SCHEME,401033.18,34,2015-10-09,,,0.73,,,,,,,,,,,,35.77,14.86,28.75,4.0,12.67,0.38,1.38,1.74,0.45,30.0,15.0,35.0,5.0,11.0,0.88,0.87,1.75,0.5
2016-03-31,FND34,MODERATE FUND,NEW ZEALAND DEFENCE FORCE KIWISAVER SCHEME,NEW ZEALAND DEFENCE FORCE KIWISAVER SCHEME,787784.09,65,2015-10-09,,,0.82,,,,,,,,,,,,27.46,12.87,22.44,6.19,18.92,1.06,2.62,7.5,0.94,24.0,13.0,28.0,7.0,16.0,2.0,2.0,7.0,1.0
2016-03-31,FND35,BALANCED FUND,NEW ZEALAND DEFENCE FORCE KIWISAVER SCHEME,NEW ZEALAND DEFENCE FORCE KIWISAVER SCHEME,11470423.24,687,2015-10-09,,,0.91,,,,,,,,,,,,14.51,9.7,18.41,9.38,31.28,2.17,3.52,9.65,1.38,10.0,10.0,25.0,10.0,28.5,3.0,3.0,9.0,1.5
2016-03-31,FND36,GROWTH FUND,NEW ZEALAND DEFENCE FORCE KIWISAVER SCHEME,NEW ZEALAND DEFENCE FORCE KIWISAVER SCHEME,2702534.49,242,2015-10-09,,,1.0,,,,,,,,,,,,7.74,4.75,10.58,11.57,46.06,2.58,4.32,10.53,1.87,4.0,5.0,16.0,12.0,44.0,3.5,3.5,10.0,2.0
2016-03-31,FND37,HIGH GROWTH FUND,NEW ZEALAND DEFENCE FORCE KIWISAVER SCHEME,NEW ZEALAND DEFENCE FORCE KIWISAVER SCHEME,2496839.79,226,2015-10-09,,,1.05,,,,,,,,,,,,2.69,1.93,2.37,17.5,56.47,2.16,4.2,10.82,1.86,2.0,2.0,6.0,18.0,53.0,3.5,3.5,10.0,2.0
2016-03-31,FND38,SHARES FUND,NEW ZEALAND DEFENCE FORCE KIWISAVER SCHEME,NEW ZEALAND DEFENCE FORCE KIWISAVER SCHEME,708757.03,104,2015-10-09,,,1.13,,,,,,,,,,,,0.5,0.0,0.0,25.51,73.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,74.0,0.0,0.0,0.0,0.0
2016-03-31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
