quarter,fund_number,fund_name,scheme_name,provider,fum,members,fund_start_date,return_1yr,return_5yr_avg,fee_total,risk_indicator,return_yr1,return_yr2,return_yr3,return_yr4,return_yr5,return_yr6,return_yr7,return_yr8,return_yr9,return_yr10,alloc_cash_and_cash_equivalents,alloc_new_zealand_fixed_interest,alloc_international_fixed_interest,alloc_australasian_equities,alloc_international_equities,alloc_listed_properties,alloc_unlisted_properties,alloc_other,alloc_commodities,target_cash_and_cash_equivalents,target_new_zealand_fixed_interest,target_international_fixed_interest,target_australasian_equities,target_international_equities,target_listed_properties,target_unlisted_properties,target_other,target_commodities
2020-09-30,FND1001,STEPPING STONES 0-35,GENERATE KIWISAVER SCHEME,1.00,29532435.0,3063,2013-04-16,5.18,,1.51,,,,,,,,,,,,5.84,7.81,0.0,20.31,53.83,12.21,0.0,0.0,0.0,5.0,6.25,0.0,17.5,53.75,17.5,0.0,0.0,0.0
2020-09-30,FND1002,STEPPING STONES 36-45,GENERATE KIWISAVER SCHEME,1.00,29187919.0,1151,2013-04-16,4.59,,1.42,,,,,,,,,,,,4.81,24.81,0.0,17.61,42.12,10.65,0.0,0.0,0.0,5.0,23.13,0.0,15.25,41.36,15.25,0.0,0.0,0.0
2020-09-30,FND1003,STEPPING STONES 46-55,GENERATE KIWISAVER SCHEME,1.00,35203021.0,1150,2013-04-16,4.01,,1.34,,,,,,,,,,,,3.77,41.82,0.0,14.9,30.4,9.11,0.0,0.0,0.0,5.0,40.0,0.0,13.0,29.0,13.0,0.0,0.0,0.0
2020-09-30,FND1004,STEPPING STONES 56-60,GENERATE KIWISAVER SCHEME,1.00,15408485.0,454,2013-04-16,3.39,,1.27,,,,,,,,,,,,3.12,54.45,0.0,13.67,20.36,8.4,0.0,0.0,0.0,5.0,52.5,0.0,12.0,18.5,12.0,0.0,0.0,0.0
2020-09-30,FND1005,STEPPING STONES 61-64,GENERATE KIWISAVER SCHEME,1.00,8830960.0,257,2013-04-16,3.31,,1.25,,,,,,,,,,,,2.75,59.47,0.0,12.48,17.57,7.73,0.0,0.0,0.0,5.0,57.5,0.0,11.0,15.5,11.0,0.0,0.0,0.0
2020-09-30,FND10339,SHIELDED GROWTH FUND,BOOSTER KIWISAVER SCHEME,1.27,4009680.6,310,2018-05-31,7.9,,1.33,,,,,,,,,,,,6.62,2.43,3.6,25.26,57.28,4.19,0.62,,,1.0,,,33.0,52.0,8.0,6.0,,
2020-09-30,FND1050,CONSERVATIVE FUND,FISHER FUNDS KIWISAVER SCHEME,0.86,1001104872.2,74849,2009-06-12,3.25,,0.94,,,,,,,,,,,,13.11,34.05,25.81,7.15,13.84,0.92,5.12,0.0,0.0,19.5,18.0,35.0,5.5,12.0,5.0,5.0,0.0,0.0
2020-09-30,FND1051,GROWTH FUND,FISHER FUNDS KIWISAVER SCHEME,0.96,2319744069.02,112861,2007-10-02,6.99,,1.23,,,,,,,,,,,,5.21,10.97,5.05,30.31,42.99,0.87,4.6,0.0,0.0,5.0,6.0,9.0,29.0,42.0,4.5,4.5,0.0,0.0
2020-09-30,FND1052,BALANCED STRATEGY,FISHER FUNDS KIWISAVER SCHEME,0.92,860152011.08,39369,2009-06-12,5.43,,1.1,,,,,,,,,,,,8.75,21.36,14.39,19.89,29.88,0.89,4.84,0.0,0.0,11.5,11.0,21.0,18.0,28.5,5.0,5.0,0.0,0.0
2020-09-30,FND10584,JUNO CONSERVATIVE FUND,JUNO KIWISAVER SCHEME,0.42,16244453.62,721,2018-08-01,6.88,,0.42,,,,,,,,,,,,69.61,,,4.77,25.62,,,,,65.0,,10.0,,25.0,,,,
2020-09-30,FND10585,JUNO BALANCED FUND,JUNO KIWISAVER SCHEME,0.34,34898917.95,1187,2018-08-01,14.75,,0.34,,,,,,,,,,,,38.04,,,9.72,52.24,,,,,20.0,,20.0,,60.0,,,,
2020-09-30,FND10586,JUNO GROWTH FUND,JUNO KIWISAVER SCHEME,0.35,180080732.15,6379,2018-08-01,22.91,,0.35,,,,,,,,,,,,10.43,,,14.05,75.52,,,,,10.0,,10.0,,80.0,,,,
2020-09-30,FND1080,PRESERVATION FUND,FISHER FUNDS TWO KIWISAVER SCHEME,0.48,34890680.87,1595,2007-10-01,0.8,,0.62,,,,,,,,,,,,46.8,53.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
