quarter,fund_number,fund_name,scheme_name,provider,fum,members,fund_start_date,return_1yr,return_5yr_avg,fee_total,risk_indicator,return_yr1,return_yr2,return_yr3,return_yr4,return_yr5,return_yr6,return_yr7,return_yr8,return_yr9,return_yr10,alloc_cash_and_cash_equivalents,alloc_new_zealand_fixed_interest,alloc_international_fixed_interest,alloc_australasian_equities,alloc_international_equities,alloc_listed_properties,alloc_unlisted_properties,alloc_other,alloc_commodities,target_cash_and_cash_equivalents,target_new_zealand_fixed_interest,target_international_fixed_interest,target_australasian_equities,target_international_equities,target_listed_properties,target_unlisted_properties,target_other,target_commodities
2020-06-30,FND1001,STEPPING STONES 0-35,GENERATE KIWISAVER SCHEME,1.00,27326600.0,3046,2013-04-16,2.31,,1.51,,,,,,,,,,,,11.24,7.28,0.0,18.98,50.89,11.61,0.0,0.0,0.0,5.0,6.25,0.0,17.5,53.75,17.5,0.0,0.0,0.0
2020-06-30,FND1002,STEPPING STONES 36-45,GENERATE KIWISAVER SCHEME,1.00,26196118.0,1122,2013-04-16,2.44,,1.42,,,,,,,,,,,,10.25,23.91,0.0,16.5,39.19,10.15,0.0,0.0,0.0,5.0,23.13,0.0,15.25,41.38,15.25,0.0,0.0,0.0
2020-06-30,FND1003,STEPPING STONES 46-55,GENERATE KIWISAVER SCHEME,1.00,32579148.0,1120,2013-04-16,2.57,,1.34,,,,,,,,,,,,9.26,40.55,0.0,14.03,27.48,8.68,0.0,0.0,0.0,5.0,40.0,0.0,13.0,29.0,13.0,0.0,0.0,0.0
2020-06-30,FND1004,STEPPING STONES 56-60,GENERATE KIWISAVER SCHEME,1.00,13808368.0,449,2013-04-16,2.51,,1.27,,,,,,,,,,,,8.7,52.8,0.0,12.9,17.58,8.02,0.0,0.0,0.0,5.0,52.5,0.0,12.0,18.5,12.0,0.0,0.0,0.0
2020-06-30,FND1005,STEPPING STONES 61-64,GENERATE KIWISAVER SCHEME,1.00,8207668.0,249,2013-04-16,2.63,,1.25,,,,,,,,,,,,8.32,57.76,0.0,11.81,14.73,7.38,0.0,0.0,0.0,5.0,57.5,0.0,11.0,15.5,11.0,0.0,0.0,0.0
2020-06-30,FND10339,SHIELDED GROWTH FUND,BOOSTER KIWISAVER SCHEME,1.27,3248821.86,263,2018-05-31,6.09,,1.33,,,,,,,,,,,,7.43,2.52,3.53,26.33,55.81,3.57,0.81,,,1.0,,,33.0,52.0,8.0,6.0,,
2020-06-30,FND1050,CONSERVATIVE FUND,FISHER FUNDS KIWISAVER SCHEME,0.86,944505070.63,74751,2009-06-12,3.27,,0.94,,,,,,,,,,,,14.73,30.76,26.88,7.66,13.94,0.89,5.14,0.0,0.0,19.5,18.0,35.0,5.5,12.0,5.0,5.0,0.0,0.0
2020-06-30,FND1051,GROWTH FUND,FISHER FUNDS KIWISAVER SCHEME,0.96,2180824365.94,112674,2007-10-02,6.72,,1.23,,,,,,,,,,,,6.52,9.16,5.91,31.21,41.8,0.76,4.64,0.0,0.0,5.0,6.0,9.0,29.0,42.0,4.5,4.5,0.0,0.0
2020-06-30,FND1052,BALANCED STRATEGY,FISHER FUNDS KIWISAVER SCHEME,0.92,806640991.12,39299,2009-06-12,5.3,,1.1,,,,,,,,,,,,10.23,18.88,15.34,20.61,29.26,0.82,4.86,0.0,0.0,11.5,11.0,21.0,18.0,28.5,5.0,5.0,0.0,0.0
2020-06-30,FND10584,JUNO CONSERVATIVE FUND,JUNO KIWISAVER SCHEME,0.42,13950568.71,692,2018-08-01,3.92,,0.42,,,,,,,,,,,,78.85,,,3.52,17.63,,,,,65.0,,10.0,,25.0,,,,
2020-06-30,FND10585,JUNO BALANCED FUND,JUNO KIWISAVER SCHEME,0.34,26985399.71,1017,2018-08-01,8.34,,0.34,,,,,,,,,,,,53.7,,,7.71,38.59,,,,,20.0,,20.0,,60.0,,,,
2020-06-30,FND10586,JUNO GROWTH FUND,JUNO KIWISAVER SCHEME,0.35,118709996.31,5058,2018-08-01,13.86,,0.35,,,,,,,,,,,,18.5,,,14.28,67.22,,,,,10.0,,10.0,,80.0,,,,
2020-06-30,FND1080,PRESERVATION FUND,FISHER FUNDS TWO KIWISAVER SCHEME,0.48,35328937.54,1645,2007-10-01,0.97,,0.62,,,,,,,,,,,,46.01,53.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-30,FND1082,CASH ENHANCED FUND,FISHER FUNDS TWO KIWISAVER SCHEME,0.54,703491581.83,50813,2007-10-01,3.72,,0.54,,,,,,,,,,,,18.97,39.48,18.97,7.53,12.39,0.33,2.33,0.0,0.0,29.5,21.0,27.0,6.5,12.0,2.0,2.0,0.0,0.0
2020-06-30,FND1083,CONSERVATIVE FUND,FISHER FUNDS TWO KIWISAVER SCHEME,0.84,162935957.09,6640,2007-10-01,3.19,,0.92,,,,,,,,,,,,14.32,31.23,27.02,7.62,13.82,0.84,5.15,0.0,0.0,19.5,18.0,35.0,5.5,12.0,5.0,5.0,0.0,0.0
2020-06-30,FND1084,BALANCED FUND,FISHER FUNDS TWO KIWISAVER SCHEME,0.87,922616153.57,31232,2007-10-01,5.16,,0.95,,,,,,,,,,,,7.82,17.09,18.85,18.7,30.43,1.04,6.07,0.0,0.0,6.0,12.0,25.0,16.0,29.0,6.0,6.0,0.0,0.0
2020-06-30,FND1085,GROWTH FUND,FISHER FUNDS TWO KIWISAVER SCHEME,0.99,552950607.08,22815,2007-10-01,5.03,,1.06,,,,,,,,,,,,9.24,12.49,5.84,27.21,37.28,0.0,7.94,0.0,0.0,10.0,6.0,9.0,27.0,40.0,0.0,8.0,0.0,0.0
2020-06-30,FND1086,EQUITY FUND,FISHER FUNDS TWO KIWISAVER SCHEME,1.09,166580584.42,9068,2007-10-01,9.14,,1.17,,,,,,,,,,,,5.88,0.55,0.0,39.14,54.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,60.0,0.0,0.0,0.0,0.0
2020-06-30,FND1087,GLIDEPATH AGE 25,FISHER FUNDS TWO KIWISAVER SCHEME,1.09,611610.93,58,2014-07-01,9.14,,1.17,,,,,,,,,,,,5.88,0.55,0.0,39.14,54.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,60.0,0.0,0.0,0.0,0.0
2020-06-30,FND1088,GLIDEPATH AGE 40,FISHER FUNDS TWO KIWISAVER SCHEME,1.02,5368259.04,210,2014-07-01,6.39,,1.09,,,,,,,,,,,,8.16,8.67,3.97,31.03,42.77,0.0,5.4,0.0,0.0,7.0,4.0,6.0,31.0,47.0,0.0,5.0,0.0,0.0
2020-06-30,FND1089,GLIDEPATH AGE 55,FISHER FUNDS TWO KIWISAVER SCHEME,0.88,5224870.9,182,2014-07-01,5.15,,0.96,,,,,,,,,,,,7.97,16.58,17.42,19.64,31.18,0.93,6.28,0.0,0.0,7.0,12.0,23.0,17.0,30.0,5.0,6.0,0.0,0.0
2020-06-30,FND1090,GLIDEPATH AGE 65,FISHER FUNDS TWO KIWISAVER SCHEME,0.85,1707094.86,41,2014-07-01,3.55,,0.93,,,,,,,,,,,,13.22,28.82,25.63,9.5,16.64,0.88,5.31,0.0,0.0,17.0,17.0,34.0,7.0,15.0,5.0,5.0,0.0,0.0
2020-06-30,FND1091,GLIDEPATH AGE 75,FISHER FUNDS TWO KIWISAVER SCHEME,0.81,90659.94,3,2014-07-01,3.02,,0.89,,,,,,,,,,,,16.85,33.05,24.86,7.01,12.71,0.78,4.74,0.0,0.0,22.0,20.0,32.0,5.0,11.0,5.0,5.0,0.0,0.0
