quarter,fund_number,fund_name,scheme_name,provider,fum,members,fund_start_date,return_1yr,return_5yr_avg,fee_total,risk_indicator,return_yr1,return_yr2,return_yr3,return_yr4,return_yr5,return_yr6,return_yr7,return_yr8,return_yr9,return_yr10,alloc_cash_and_cash_equivalents,alloc_new_zealand_fixed_interest,alloc_international_fixed_interest,alloc_australasian_equities,alloc_international_equities,alloc_listed_properties,alloc_unlisted_properties,alloc_other,alloc_commodities,target_cash_and_cash_equivalents,target_new_zealand_fixed_interest,target_international_fixed_interest,target_australasian_equities,target_international_equities,target_listed_properties,target_unlisted_properties,target_other,target_commodities
2016-06-30,FND119,AMP DEFAULT FUND,AMP KIWISAVER SCHEME,AMP KIWISAVER SCHEME,1229057336.0,119295,39356.0,2.26,,0.4,,,,,,,,,,,,48.61,14.86,14.82,6.88,14.83,0.0,0.0,0.0,0.0,45.0,17.5,17.5,7.0,13.0,0.0,0.0,0.0,0.0
2016-06-30,FND130,AMP CASH FUND,AMP KIWISAVER SCHEME,AMP KIWISAVER SCHEME,77978703.0,4663,39356.0,1.67,,0.79,,,,,,,,,,,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-30,FND131,AMP CONSERVATIVE FUND,AMP KIWISAVER SCHEME,AMP KIWISAVER SCHEME,284598497.0,12580,39356.0,2.04,,0.99,,,,,,,,,,,,28.62,21.97,21.88,5.03,13.06,5.1,0.0,2.24,2.1,25.0,25.0,25.0,5.0,11.0,4.5,0.0,2.5,2.0
2016-06-30,FND132,AMP MODERATE FUND,AMP KIWISAVER SCHEME,AMP KIWISAVER SCHEME,335141883.0,12674,39356.0,1.12,,1.08,,,,,,,,,,,,21.81,17.97,18.02,9.34,21.49,5.64,0.0,3.07,2.66,18.0,21.0,21.0,9.5,19.5,5.5,0.0,3.0,2.5
2016-06-30,FND133,AMP MODERATE BALANCED FUND,AMP KIWISAVER SCHEME,AMP KIWISAVER SCHEME,472291245.0,18899,39356.0,0.68,,1.14,,,,,,,,,,,,18.07,14.79,14.84,12.48,26.93,6.74,0.0,3.53,2.62,14.0,18.0,18.0,12.5,25.0,6.5,0.0,3.5,2.5
2016-06-30,FND134,AMP BALANCED FUND,AMP KIWISAVER SCHEME,AMP KIWISAVER SCHEME,704869272.0,30207,39356.0,-0.06,,1.15,,,,,,,,,,,,13.23,12.11,12.06,15.05,32.7,7.46,0.0,4.2,3.19,10.0,15.0,15.0,15.0,31.0,7.0,0.0,4.0,3.0
2016-06-30,FND135,AMP GROWTH FUND,AMP KIWISAVER SCHEME,AMP KIWISAVER SCHEME,526011226.0,28054,39356.0,-1.44,,1.17,,,,,,,,,,,,9.9,4.05,4.11,18.9,44.05,9.47,0.0,5.2,4.32,6.0,7.0,7.0,19.0,43.0,9.0,0.0,5.0,4.0
2016-06-30,FND136,AMP AGGRESSIVE FUND,AMP KIWISAVER SCHEME,AMP KIWISAVER SCHEME,224227712.0,22642,39356.0,-2.0,,1.26,,,,,,,,,,,,6.22,0.53,0.55,22.41,50.41,9.77,0.0,5.88,4.23,5.0,2.5,2.5,22.5,48.5,9.5,0.0,5.5,4.0
2016-06-30,FND137,ANZ BALANCED PLUS FUND,AMP KIWISAVER SCHEME,AMP KIWISAVER SCHEME,181214031.0,6032,39356.0,1.47,,1.2,,,,,,,,,,,,12.77,9.57,16.55,14.41,36.0,10.57,0.0,0.13,0.0,6.0,9.0,20.0,16.0,39.0,10.0,0.0,0.0,0.0
2016-06-30,FND138,FISHER BALANCED FUND,AMP KIWISAVER SCHEME,AMP KIWISAVER SCHEME,28723077.0,1306,39356.0,3.73,,1.28,,,,,,,,,,,,11.63,15.78,12.95,24.54,22.78,0.0,12.32,0.0,0.0,16.0,12.0,15.0,23.5,23.5,0.0,10.0,0.0,0.0
2016-06-30,FND139,NIKKO AM BALANCED FUND,AMP KIWISAVER SCHEME,AMP KIWISAVER SCHEME,32483801.0,1323,39356.0,4.29,,1.51,,,,,,,,,,,,0.0,14.31,14.21,21.22,25.46,5.2,0.0,19.6,0.0,0.0,14.0,14.0,21.0,26.0,5.0,0.0,20.0,0.0
2016-06-30,FND11,MERCER CASH FUND,MERCER KIWISAVER SCHEME,MERCER KIWISAVER SCHEME,15542858.39,1215,39356.0,2.01,,0.38,,,,,,,,,,,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-30,FND13,MERCER CONSERVATIVE FUND,MERCER KIWISAVER SCHEME,MERCER KIWISAVER SCHEME,1000249596.54,84491,39356.0,3.94,,0.57,,,,,,,,,,,,35.29,14.9,29.35,4.2,12.51,0.48,1.19,1.76,0.32,30.0,15.0,35.0,5.0,11.0,0.88,0.87,1.75,0.5
2016-06-30,FND14,MERCER MODERATE FUND,MERCER KIWISAVER SCHEME,MERCER KIWISAVER SCHEME,36266160.68,1711,2015-02-18,3.26,,0.67,,,,,,,,,,,,27.48,12.81,22.56,6.06,18.77,1.0,2.7,7.59,1.03,24.0,13.0,28.0,7.0,16.0,2.0,2.0,7.0,1.0
2016-06-30,FND15,MERCER BALANCED FUND,MERCER KIWISAVER SCHEME,MERCER KIWISAVER SCHEME,248508899.8,11486,39356.0,2.48,,0.77,,,,,,,,,,,,14.95,10.05,18.26,8.78,30.6,2.09,3.79,9.94,1.54,10.0,10.0,25.0,10.0,28.5,3.0,3.0,9.0,1.5
2016-06-30,FND16,MERCER GROWTH FUND,MERCER KIWISAVER SCHEME,MERCER KIWISAVER SCHEME,29708433.9,1657,2015-02-18,0.95,,0.87,,,,,,,,,,,,7.8,4.97,10.66,11.0,46.15,2.56,4.33,10.53,2.0,4.0,5.0,16.0,12.0,44.0,3.5,3.5,10.0,2.0
2016-06-30,FND17,MERCER HIGH GROWTH FUND,MERCER KIWISAVER SCHEME,MERCER KIWISAVER SCHEME,98861952.63,5561,39356.0,0.62,,0.92,,,,,,,,,,,,3.38,1.99,2.41,16.84,56.23,2.25,4.14,10.66,2.1,2.0,2.0,6.0,18.0,53.0,3.5,3.5,10.0,2.0
2016-06-30,FND18,MERCER SHARES FUND,MERCER KIWISAVER SCHEME,MERCER KIWISAVER SCHEME,9288903.31,589,2015-02-18,-1.18,,0.96,,,,,,,,,,,,0.56,0.0,0.0,24.79,74.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,74.0,0.0,0.0,0.0,0.0
2016-06-30,FND32,CASH FUND,NEW ZEALAND DEFENCE FORCE KIWISAVER SCHEME,NEW ZEALAND DEFENCE FORCE KIWISAVER SCHEME,200531.5,22,2015-10-09,,,0.55,,,,,,,,,,,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
2016-06-30,FND33,CONSERVATIVE FUND,NEW ZEALAND DEFENCE FORCE KIWISAVER SCHEME,NEW ZEALAND DEFENCE FORCE KIWISAVER SCHEME,505938.96,48,2015-10-09,,,0.73,,,,,,,,,,,,35.4,14.78,28.83,4.05,12.97,0.37,1.36,1.77,0.47,30.0,15.0,35.0,5.0,11.0,0.88,0.87,1.75,0.5
2016-06-30,FND34,MODERATE FUND,NEW ZEALAND DEFENCE FORCE KIWISAVER SCHEME,NEW ZEALAND DEFENCE FORCE KIWISAVER SCHEME,867751.15,84,2015-10-09,,,0.82,,,,,,,,,,,,27.63,12.79,22.52,6.04,18.73,1.0,2.69,7.57,1.03,24.0,13.0,28.0,7.0,16.0,2.0,2.0,7.0,1.0
2016-06-30,FND35,BALANCED FUND,NEW ZEALAND DEFENCE FORCE KIWISAVER SCHEME,NEW ZEALAND DEFENCE FORCE KIWISAVER SCHEME,13592466.79,902,2015-10-09,,,0.91,,,,,,,,,,,,15.29,10.01,18.19,8.74,30.49,2.08,3.77,9.9,1.53,10.0,10.0,25.0,10.0,28.5,3.0,3.0,9.0,1.5
2016-06-30,FND36,GROWTH FUND,NEW ZEALAND DEFENCE FORCE KIWISAVER SCHEME,NEW ZEALAND DEFENCE FORCE KIWISAVER SCHEME,3632819.61,325,2015-10-09,,,1.0,,,,,,,,,,,,7.62,4.98,10.69,11.02,46.22,2.57,4.34,10.55,2.01,4.0,5.0,16.0,12.0,44.0,3.5,3.5,10.0,2.0
2016-06-30,FND37,HIGH GROWTH FUND,NEW ZEALAND DEFENCE FORCE KIWISAVER SCHEME,NEW ZEALAND DEFENCE FORCE KIWISAVER SCHEME,3705709.94,304,2015-10-09,,,1.05,,,,,,,,,,,,4.01,1.97,2.4,16.73,55.87,2.24,4.11,10.59,2.08,2.0,2.0,6.0,18.0,53.0,3.5,3.5,10.0,2.0
2016-06-30,FND38,SHARES FUND,NEW ZEALAND DEFENCE FORCE KIWISAVER SCHEME,NEW ZEALAND DEFENCE FORCE KIWISAVER SCHEME,1136669.03,138,2015-10-09,,,1.13,,,,,,,,,,,,1.0,0.0,0.0,24.68,74.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,74.0,0.0,0.0,0.0,0.0
