quarter,fund_number,fund_name,scheme_name,provider,fum,members,fund_start_date,return_1yr,return_5yr_avg,fee_total,risk_indicator,return_yr1,return_yr2,return_yr3,return_yr4,return_yr5,return_yr6,return_yr7,return_yr8,return_yr9,return_yr10,alloc_cash_and_cash_equivalents,alloc_new_zealand_fixed_interest,alloc_international_fixed_interest,alloc_australasian_equities,alloc_international_equities,alloc_listed_properties,alloc_unlisted_properties,alloc_other,alloc_commodities,target_cash_and_cash_equivalents,target_new_zealand_fixed_interest,target_international_fixed_interest,target_australasian_equities,target_international_equities,target_listed_properties,target_unlisted_properties,target_other,target_commodities
2019-03-31,FND1001,STEPPING STONES 0-35,GENERATE KIWISAVER SCHEME,1.00,23735842.0,2945,2013-04-16,9.03,,1.57,,,,,,,,,,,,4.55,12.54,0.0,19.09,52.87,10.95,0.0,0.0,0.0,1.75,7.5,0.0,18.25,54.25,18.25,0.0,0.0,0.0
2019-03-31,FND1002,STEPPING STONES 36-45 AND STEPPING STONES GROWTH 51-55,GENERATE KIWISAVER SCHEME,1.00,30346588.0,1359,2013-04-16,8.36,,1.47,,,,,,,,,,,,3.68,28.45,0.0,17.79,39.83,10.25,0.0,0.0,0.0,2.73,24.0,0.0,15.77,41.73,15.77,0.0,0.0,0.0
2019-03-31,FND1003,STEPPING STONES 46-55 AND STEPPING STONES GROWTH 56-60,GENERATE KIWISAVER SCHEME,1.00,32604337.0,1246,2013-04-16,7.7,,1.38,,,,,,,,,,,,2.81,44.37,0.0,16.5,26.78,9.54,0.0,0.0,0.0,3.7,40.5,0.0,13.3,29.2,13.3,0.0,0.0,0.0
2019-03-31,FND1004,STEPPING STONES 56-60,GENERATE KIWISAVER SCHEME,1.00,9684467.0,365,2013-04-16,7.32,,1.3,,,,,,,,,,,,1.92,57.01,0.0,15.95,15.77,9.35,0.0,0.0,0.0,4.5,53.0,0.0,12.0,18.5,12.0,0.0,0.0,0.0
2019-03-31,FND1005,STEPPING STONES 61-64 AND STEPPING STONES GROWTH 61-64,GENERATE KIWISAVER SCHEME,1.00,6296844.0,233,2013-04-16,7.07,,1.27,,,,,,,,,,,,1.78,61.3,0.0,15.36,12.58,8.98,0.0,0.0,0.0,4.75,57.75,0.0,11.0,15.5,11.0,0.0,0.0,0.0
2019-03-31,FND10339,SHIELDED GROWTH FUND,BOOSTER KIWISAVER SCHEME,1.25,965843.57,67,2018-05-31,,,1.34,,,,,,,,,,,,6.94,2.22,2.65,21.1,62.52,2.96,1.61,,,2.0,,,32.0,54.0,12.0,,,
2019-03-31,FND1050,CONSERVATIVE FUND,FISHER FUNDS KIWISAVER SCHEME,0.84,741322750.0,72821,2009-06-01,5.35,,0.97,,,,,,,,,,,,13.19,43.27,18.94,7.24,11.34,0.87,5.15,0.0,0.0,19.5,18.0,35.0,5.5,12.0,5.0,5.0,0.0,0.0
2019-03-31,FND1051,GROWTH FUND,FISHER FUNDS KIWISAVER SCHEME,0.95,1795599937.0,110880,2007-10-01,8.9,,1.47,,,,,,,,,,,,8.67,18.14,0.0,29.73,37.62,0.71,5.13,0.0,0.0,5.0,6.0,9.0,29.0,42.0,4.5,4.5,0.0,0.0
2019-03-31,FND1052,BALANCED STRATEGY,FISHER FUNDS KIWISAVER SCHEME,0.90,667931767.0,39415,2009-06-01,7.32,,1.24,,,,,,,,,,,,10.7,29.45,8.52,19.61,25.8,0.78,5.14,0.0,0.0,11.5,11.0,21.0,18.0,28.5,5.0,5.0,0.0,0.0
2019-03-31,FND10584,JUNO CONSERVATIVE FUND,JUNO KIWISAVER SCHEME,0.33,1442295.86,66,2018-08-01,,,0.33,,,,,,,,,,,,92.59,,1.62,1.38,4.41,,,,,65.0,,10.0,,25.0,,,,
2019-03-31,FND10585,JUNO BALANCED FUND,JUNO KIWISAVER SCHEME,0.36,5244655.54,224,2018-08-01,,,0.36,,,,,,,,,,,,72.57,,6.0,5.1,16.33,,,,,20.0,,20.0,,60.0,,,,
2019-03-31,FND10586,JUNO GROWTH FUND,JUNO KIWISAVER SCHEME,0.32,29664219.28,1330,2018-08-01,,,0.32,,,,,,,,,,,,54.15,,,10.92,34.93,,,,,20.0,,,,80.0,,,,
2019-03-31,FND1080,PRESERVATION FUND,FISHER FUNDS TWO KIWISAVER SCHEME,0.48,27618214.1,1624,2007-10-01,1.69,,0.64,,,,,,,,,,,,19.6,80.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,FND1082,CASH ENHANCED FUND,FISHER FUNDS TWO KIWISAVER SCHEME,0.56,662841201.8,52092,2007-10-01,4.34,,0.56,,,,,,,,,,,,15.78,54.26,9.04,6.81,10.02,0.19,3.9,0.0,0.0,29.5,21.0,27.0,6.5,12.0,2.0,2.0,0.0,0.0
2019-03-31,FND1083,CONSERVATIVE FUND,FISHER FUNDS TWO KIWISAVER SCHEME,0.83,149348247.32,7026,2007-10-01,5.14,,0.96,,,,,,,,,,,,13.24,43.39,18.78,7.19,11.38,0.84,5.18,0.0,0.0,19.5,18.0,35.0,5.5,12.0,5.0,5.0,0.0,0.0
