quarter,fund_number,fund_name,scheme_name,provider,fum,members,fund_start_date,return_1yr,return_5yr_avg,fee_total,risk_indicator,return_yr1,return_yr2,return_yr3,return_yr4,return_yr5,return_yr6,return_yr7,return_yr8,return_yr9,return_yr10,alloc_cash_and_cash_equivalents,alloc_new_zealand_fixed_interest,alloc_international_fixed_interest,alloc_australasian_equities,alloc_international_equities,alloc_listed_properties,alloc_unlisted_properties,alloc_other,alloc_commodities,target_cash_and_cash_equivalents,target_new_zealand_fixed_interest,target_international_fixed_interest,target_australasian_equities,target_international_equities,target_listed_properties,target_unlisted_properties,target_other,target_commodities
2019-06-30,FND1001,STEPPING STONES 0-35,GENERATE KIWISAVER SCHEME,1.00,26219311.0,3039,2013-04-16,8.35,,1.57,,,,,,,,,,,,10.1,10.73,0.0,20.76,47.73,10.68,0.0,0.0,0.0,1.75,7.5,0.0,18.25,54.25,18.25,0.0,0.0,0.0
2019-06-30,FND1002,STEPPING STONES 36-45 AND STEPPING STONES GROWTH 51-55,GENERATE KIWISAVER SCHEME,1.00,32865342.0,1415,2013-04-16,7.83,,1.47,,,,,,,,,,,,8.98,25.88,0.0,19.18,35.94,10.01,0.0,0.0,0.0,2.73,24.0,0.0,15.78,41.73,15.78,0.0,0.0,0.0
2019-06-30,FND1003,STEPPING STONES 46-55 AND STEPPING STONES GROWTH 56-60,GENERATE KIWISAVER SCHEME,1.00,35663603.0,1291,2013-04-16,7.31,,1.38,,,,,,,,,,,,7.86,41.03,0.0,17.61,24.15,9.35,0.0,0.0,0.0,3.7,40.5,0.0,13.3,29.2,13.3,0.0,0.0,0.0
2019-06-30,FND1004,STEPPING STONES 56-60,GENERATE KIWISAVER SCHEME,1.00,10814218.0,385,2013-04-16,7.07,,1.3,,,,,,,,,,,,6.66,53.03,0.0,16.95,14.15,9.2,0.0,0.0,0.0,4.5,53.0,0.0,12.0,18.5,12.0,0.0,0.0,0.0
2019-06-30,FND1005,STEPPING STONES 61-64 AND STEPPING STONES GROWTH 61-64,GENERATE KIWISAVER SCHEME,1.00,6833861.0,244,2013-04-16,6.84,,1.27,,,,,,,,,,,,6.52,57.13,0.0,16.23,11.29,8.83,0.0,0.0,0.0,4.75,57.75,0.0,11.0,15.5,11.0,0.0,0.0,0.0
2019-06-30,FND10339,SHIELDED GROWTH FUND,BOOSTER KIWISAVER SCHEME,1.25,1330613.31,104,2018-05-31,5.82,,1.34,,,,,,,,,,,,6.72,1.89,2.51,22.09,62.59,3.2,1.0,,,2.0,,,32.0,54.0,12.0,,,
2019-06-30,FND1050,CONSERVATIVE FUND,FISHER FUNDS KIWISAVER SCHEME,0.85,766438494.05,72907,2009-06-01,5.76,,0.95,,,,,,,,,,,,10.78,45.24,18.82,7.71,11.24,0.86,5.35,0.0,0.0,19.5,18.0,35.0,5.5,12.0,5.0,5.0,0.0,0.0
2019-06-30,FND1051,GROWTH FUND,FISHER FUNDS KIWISAVER SCHEME,0.95,1907828881.5,111958,2007-10-01,7.88,,1.41,,,,,,,,,,,,7.48,19.28,0.0,30.78,36.57,0.72,5.17,0.0,0.0,5.0,6.0,9.0,29.0,42.0,4.5,4.5,0.0,0.0
2019-06-30,FND1052,BALANCED STRATEGY,FISHER FUNDS KIWISAVER SCHEME,0.91,705055808.43,39603,2009-06-01,6.95,,1.21,,,,,,,,,,,,8.97,30.96,8.47,20.4,25.17,0.78,5.25,0.0,0.0,11.5,11.0,21.0,18.0,28.5,5.0,5.0,0.0,0.0
2019-06-30,FND10584,JUNO CONSERVATIVE FUND,JUNO KIWISAVER SCHEME,0.35,2515509.6,106,2018-08-01,,,0.35,,,,,,,,,,,,92.03,,1.48,1.62,4.8,,,0.07,,65.0,,10.0,,25.0,,,,
2019-06-30,FND10585,JUNO BALANCED FUND,JUNO KIWISAVER SCHEME,0.34,7432429.45,330,2018-08-01,,,0.34,,,,,,,,,,,,70.95,,5.4,5.9,17.49,,,0.26,,20.0,,20.0,,60.0,,,,
2019-06-30,FND10586,JUNO GROWTH FUND,JUNO KIWISAVER SCHEME,0.32,42138246.13,1879,2018-08-01,,,0.32,,,,,,,,,,,,52.01,,,11.97,35.5,,,0.52,,20.0,,,,80.0,,,,
2019-06-30,FND1080,PRESERVATION FUND,FISHER FUNDS TWO KIWISAVER SCHEME,0.48,27100820.17,1579,2007-10-01,1.68,,0.63,,,,,,,,,,,,17.42,82.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-30,FND1082,CASH ENHANCED FUND,FISHER FUNDS TWO KIWISAVER SCHEME,0.56,654221192.13,51186,2007-10-01,4.8,,0.56,,,,,,,,,,,,12.3,57.14,9.15,7.13,9.82,0.21,4.25,0.0,0.0,29.5,21.0,27.0,6.5,12.0,2.0,2.0,0.0,0.0
2019-06-30,FND1083,CONSERVATIVE FUND,FISHER FUNDS TWO KIWISAVER SCHEME,0.84,150631518.45,6921,2007-10-01,5.55,,0.93,,,,,,,,,,,,10.44,45.67,19.15,7.25,11.14,0.84,5.51,0.0,0.0,19.5,18.0,35.0,5.5,12.0,5.0,5.0,0.0,0.0
2019-06-30,FND1084,BALANCED FUND,FISHER FUNDS TWO KIWISAVER SCHEME,0.87,822251400.36,31612,2007-10-01,7.06,,0.97,,,,,,,,,,,,8.91,27.59,11.01,16.5,24.4,5.54,6.05,0.0,0.0,6.0,12.0,25.0,16.0,29.0,6.0,6.0,0.0,0.0
2019-06-30,FND1085,GROWTH FUND,FISHER FUNDS TWO KIWISAVER SCHEME,0.99,456493793.84,21401,2007-10-01,6.36,,1.09,,,,,,,,,,,,8.0,24.92,0.0,26.8,33.71,0.0,6.57,0.0,0.0,10.0,6.0,9.0,27.0,40.0,0.0,8.0,0.0,0.0
2019-06-30,FND1086,EQUITY FUND,FISHER FUNDS TWO KIWISAVER SCHEME,1.09,140410867.03,8868,2007-10-01,7.9,,1.21,,,,,,,,,,,,5.29,4.67,0.0,38.95,51.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,60.0,0.0,0.0,0.0,0.0
2019-06-30,FND1087,GLIDEPATH AGE 25,FISHER FUNDS TWO KIWISAVER SCHEME,1.09,510653.14,53,2014-07-01,7.9,,1.21,,,,,,,,,,,,5.29,4.67,0.0,38.95,51.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,60.0,0.0,0.0,0.0,0.0
2019-06-30,FND1088,GLIDEPATH AGE 40,FISHER FUNDS TWO KIWISAVER SCHEME,1.02,4110166.26,218,2014-07-01,6.86,,1.13,,,,,,,,,,,,7.13,18.44,0.0,30.69,39.27,0.0,4.47,0.0,0.0,7.0,4.0,6.0,31.0,47.0,0.0,5.0,0.0,0.0
2019-06-30,FND1089,GLIDEPATH AGE 55,FISHER FUNDS TWO KIWISAVER SCHEME,0.88,4085038.69,153,2014-07-01,6.98,,0.98,,,,,,,,,,,,8.81,27.3,9.8,17.64,25.42,4.93,6.1,0.0,0.0,7.0,12.0,23.0,17.0,30.0,5.0,6.0,0.0,0.0
2019-06-30,FND1090,GLIDEPATH AGE 65,FISHER FUNDS TWO KIWISAVER SCHEME,0.85,1317841.49,47,2014-07-01,5.81,,0.94,,,,,,,,,,,,10.18,42.6,17.77,8.82,13.39,1.64,5.6,0.0,0.0,17.0,17.0,34.0,7.0,15.0,5.0,5.0,0.0,0.0
2019-06-30,FND1091,GLIDEPATH AGE 75,FISHER FUNDS TWO KIWISAVER SCHEME,0.81,0.0,0,2014-07-01,5.24,,0.9,,,,,,,,,,,,11.0,48.62,17.62,6.67,10.25,0.77,5.07,0.0,0.0,22.0,20.0,32.0,5.0,11.0,5.0,5.0,0.0,0.0
