quarter,fund_number,fund_name,scheme_name,provider,fum,members,fund_start_date,return_1yr,return_5yr_avg,fee_total,risk_indicator,return_yr1,return_yr2,return_yr3,return_yr4,return_yr5,return_yr6,return_yr7,return_yr8,return_yr9,return_yr10,alloc_cash_and_cash_equivalents,alloc_new_zealand_fixed_interest,alloc_international_fixed_interest,alloc_australasian_equities,alloc_international_equities,alloc_listed_properties,alloc_unlisted_properties,alloc_other,alloc_commodities,target_cash_and_cash_equivalents,target_new_zealand_fixed_interest,target_international_fixed_interest,target_australasian_equities,target_international_equities,target_listed_properties,target_unlisted_properties,target_other,target_commodities
2018-03-31,FND1001,STEPPING STONES 0-35,GENERATE KIWISAVER SCHEME,1.00,18587121.0,2687,2013-04-16,12.08,,1.76,,,,,,,,,,,,6.82,9.78,0.0,12.12,57.99,13.29,0.0,0.0,0.0,1.75,7.5,0.0,18.25,54.25,18.25,0.0,0.0,0.0
2018-03-31,FND1002,STEPPING STONES 36-45 AND STEPPING STONES GROWTH 51-55,GENERATE KIWISAVER SCHEME,1.00,22417552.0,1130,2013-04-16,9.81,,1.61,,,,,,,,,,,,6.47,27.24,0.0,12.3,40.59,13.4,0.0,0.0,0.0,2.73,24.0,0.0,17.65,37.98,17.65,0.0,0.0,0.0
2018-03-31,FND1003,STEPPING STONES 46-55 AND STEPPING STONES GROWTH 56-60,GENERATE KIWISAVER SCHEME,1.00,22989251.0,1052,2013-04-16,7.55,,1.45,,,,,,,,,,,,6.11,44.7,0.0,12.48,23.19,13.52,0.0,0.0,0.0,3.7,40.5,0.0,17.05,21.7,17.05,0.0,0.0,0.0
2018-03-31,FND1004,STEPPING STONES 56-60,GENERATE KIWISAVER SCHEME,1.00,7180748.0,294,2013-04-16,5.77,,1.33,,,,,,,,,,,,5.6,58.3,0.0,12.94,9.27,13.89,0.0,0.0,0.0,4.5,53.0,0.0,17.0,8.5,17.0,0.0,0.0,0.0
2018-03-31,FND1005,STEPPING STONES 61-64 AND STEPPING STONES 61-64,GENERATE KIWISAVER SCHEME,1.00,4081573.0,183,2013-04-16,5.15,,1.29,,,,,,,,,,,,5.61,63.15,0.0,12.82,4.64,13.78,0.0,0.0,0.0,4.75,57.75,0.0,16.63,4.25,16.63,0.0,0.0,0.0
2018-03-31,FND1050,CONSERVATIVE FUND,FISHER FUNDS KIWISAVER SCHEME,0.85,611812744.0,70285,2009-06-01,3.62,,0.99,,,,,,,,,,,,21.49,36.53,23.55,5.58,9.71,0.59,2.55,0.0,0.0,23.0,22.0,33.0,6.0,9.0,3.5,3.5,0.0,0.0
2018-03-31,FND1051,GROWTH FUND,FISHER FUNDS KIWISAVER SCHEME,0.95,1525320665.0,107704,2007-10-01,9.31,,1.45,,,,,,,,,,,,12.87,10.23,3.2,27.21,42.28,0.75,3.46,0.0,0.0,5.0,6.0,9.0,29.0,42.0,4.5,4.5,0.0,0.0
2018-03-31,FND1052,BALANCED STRATEGY,FISHER FUNDS KIWISAVER SCHEME,0.91,528310448.0,36746,2009-06-01,6.73,,1.25,,,,,,,,,,,,16.77,22.06,12.35,17.47,27.62,0.68,3.05,0.0,0.0,13.0,13.0,20.0,19.0,27.0,4.0,4.0,0.0,0.0
2018-03-31,FND1080,PRESERVATION FUND,FISHER FUNDS TWO KIWISAVER SCHEME,0.48,27588385.98,1800,2007-10-01,1.66,,0.66,,,,,,,,,,,,47.98,52.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,FND1082,CASH ENHANCED FUND,FISHER FUNDS TWO KIWISAVER SCHEME,0.56,737272531.05,60480,2007-10-01,3.67,,0.56,,,,,,,,,,,,25.28,38.4,19.05,5.03,7.03,0.0,5.21,0.0,0.0,31.0,19.0,29.0,6.0,8.0,0.0,7.0,0.0,0.0
