quarter,fund_number,fund_name,scheme_name,provider,fum,members,fund_start_date,return_1yr,return_5yr_avg,fee_total,risk_indicator,return_yr1,return_yr2,return_yr3,return_yr4,return_yr5,return_yr6,return_yr7,return_yr8,return_yr9,return_yr10,alloc_cash_and_cash_equivalents,alloc_new_zealand_fixed_interest,alloc_international_fixed_interest,alloc_australasian_equities,alloc_international_equities,alloc_listed_properties,alloc_unlisted_properties,alloc_other,alloc_commodities,target_cash_and_cash_equivalents,target_new_zealand_fixed_interest,target_international_fixed_interest,target_australasian_equities,target_international_equities,target_listed_properties,target_unlisted_properties,target_other,target_commodities
2019-12-31,FND1001,STEPPING STONES 0-35,GENERATE KIWISAVER SCHEME,1.00,30270983.0,3103,2013-04-16,24.21,,1.57,,,,,,,,,,,,8.41,9.84,0.0,14.89,50.51,16.34,0.0,0.0,0.0,5.0,6.25,0.0,17.5,53.75,17.5,0.0,0.0,0.0
2019-12-31,FND1002,STEPPING STONES 36-45,GENERATE KIWISAVER SCHEME,1.00,28343318.0,1162,2013-04-16,20.48,,1.47,,,,,,,,,,,,7.85,25.3,0.0,13.2,39.26,14.39,0.0,0.0,0.0,5.0,23.13,0.0,15.25,41.38,15.25,0.0,0.0,0.0
2019-12-31,FND1003,STEPPING STONES 46-55,GENERATE KIWISAVER SCHEME,1.00,33005920.0,1118,2013-04-16,16.76,,1.38,,,,,,,,,,,,7.3,40.76,0.0,11.5,28.01,12.43,0.0,0.0,0.0,5.0,40.0,0.0,13.0,29.0,13.0,0.0,0.0,0.0
2019-12-31,FND1004,STEPPING STONES 56-60,GENERATE KIWISAVER SCHEME,1.00,13104522.0,414,2013-04-16,13.98,,1.3,,,,,,,,,,,,6.56,52.73,0.0,10.78,18.24,11.69,0.0,0.0,0.0,5.0,52.5,0.0,12.0,18.5,12.0,0.0,0.0,0.0
2019-12-31,FND1005,STEPPING STONES 61-64,GENERATE KIWISAVER SCHEME,1.00,7544655.0,233,2013-04-16,12.88,,1.27,,,,,,,,,,,,6.55,57.05,0.0,10.0,15.63,10.76,0.0,0.0,0.0,5.0,57.5,0.0,11.0,15.5,11.0,0.0,0.0,0.0
2019-12-31,FND10339,SHIELDED GROWTH FUND,BOOSTER KIWISAVER SCHEME,1.25,2171277.8,183,2018-05-31,19.65,,1.34,,,,,,,,,,,,6.11,2.91,2.88,26.57,56.27,4.04,1.22,,,2.0,,,32.0,54.0,12.0,,,
2019-12-31,FND1050,CONSERVATIVE FUND,FISHER FUNDS KIWISAVER SCHEME,0.85,844474586.17,73631,2009-06-12,7.96,,0.95,,,,,,,,,,,,14.24,41.27,18.85,7.32,11.74,0.97,5.61,0.0,0.0,19.5,18.0,35.0,5.5,12.0,5.0,5.0,0.0,0.0
2019-12-31,FND1051,GROWTH FUND,FISHER FUNDS KIWISAVER SCHEME,0.95,2137438185.28,113526,2007-10-02,20.41,,1.41,,,,,,,,,,,,7.81,17.71,0.0,30.46,38.03,0.94,5.05,0.0,0.0,5.0,6.0,9.0,29.0,42.0,4.5,4.5,0.0,0.0
2019-12-31,FND1052,BALANCED STRATEGY,FISHER FUNDS KIWISAVER SCHEME,0.91,788151553.72,39943,2009-06-12,14.66,,1.21,,,,,,,,,,,,10.71,28.31,8.48,20.05,26.2,0.95,5.3,0.0,0.0,11.5,11.0,21.0,18.0,28.5,5.0,5.0,0.0,0.0
2019-12-31,FND10584,JUNO CONSERVATIVE FUND,JUNO KIWISAVER SCHEME,0.41,6125159.68,402,2018-08-01,5.41,,0.41,,,,,,,,,,,,80.8,,1.64,1.37,16.06,,,0.13,,65.0,,10.0,,25.0,,,,
