quarter,fund_number,fund_name,scheme_name,provider,fum,members,fund_start_date,return_1yr,return_5yr_avg,fee_total,risk_indicator,return_yr1,return_yr2,return_yr3,return_yr4,return_yr5,return_yr6,return_yr7,return_yr8,return_yr9,return_yr10,alloc_cash_and_cash_equivalents,alloc_new_zealand_fixed_interest,alloc_international_fixed_interest,alloc_australasian_equities,alloc_international_equities,alloc_listed_properties,alloc_unlisted_properties,alloc_other,alloc_commodities,target_cash_and_cash_equivalents,target_new_zealand_fixed_interest,target_international_fixed_interest,target_australasian_equities,target_international_equities,target_listed_properties,target_unlisted_properties,target_other,target_commodities
2018-09-30,FND1001,STEPPING STONES 0-35,GENERATE KIWISAVER SCHEME,1.00,22517377.0,2824,2013-04-16,14.68,,1.76,,,,,,,,,,,,8.22,13.52,0.0,12.82,54.41,11.03,0.0,0.0,0.0,1.75,7.5,0.0,18.25,54.25,18.25,0.0,0.0,0.0
2018-09-30,FND1002,STEPPING STONES 36-45 AND STEPPING STONES GROWTH 51-55,GENERATE KIWISAVER SCHEME,1.00,27219890.0,1220,2013-04-16,12.31,,1.61,,,,,,,,,,,,6.11,30.8,0.0,13.57,38.08,11.44,0.0,0.0,0.0,2.73,24.0,0.0,17.65,37.98,17.65,0.0,0.0,0.0
2018-09-30,FND1003,STEPPING STONES 46-55 AND STEPPING STONES GROWTH 56-60,GENERATE KIWISAVER SCHEME,1.00,27460359.0,1136,2013-04-16,9.95,,1.45,,,,,,,,,,,,4.0,48.06,0.0,14.32,21.77,11.85,0.0,0.0,0.0,3.7,40.5,0.0,17.05,21.7,17.05,0.0,0.0,0.0
2018-09-30,FND1004,STEPPING STONES 56-60,GENERATE KIWISAVER SCHEME,1.00,8464464.0,329,2013-04-16,8.14,,1.33,,,,,,,,,,,,1.54,62.29,0.0,15.2,8.53,12.44,0.0,0.0,0.0,4.5,53.0,0.0,17.0,8.5,17.0,0.0,0.0,0.0
2018-09-30,FND1005,STEPPING STONES 61-64 AND STEPPING STONES GROWTH 61-64,GENERATE KIWISAVER SCHEME,1.00,5272415.0,207,2013-04-16,7.47,,1.29,,,,,,,,,,,,1.36,66.69,0.0,15.26,4.27,12.42,0.0,0.0,0.0,4.75,57.75,0.0,16.63,4.25,16.63,0.0,0.0,0.0
2018-09-30,FND10339,SHIELDED GROWTH FUND,BOOSTER KIWISAVER SCHEME,1.14,862834.07,28,2018-05-31,,,1.34,,,,,,,,,,,,5.85,1.68,1.39,19.23,66.79,3.47,1.6,,,2.0,32.0,54.0,12.0,,,,,
2018-09-30,FND1050,CONSERVATIVE FUND,FISHER FUNDS KIWISAVER SCHEME,0.84,672471578.0,71229,2009-06-01,4.67,,0.97,,,,,,,,,,,,14.13,42.01,18.71,6.95,11.68,0.78,5.74,0.0,0.0,19.5,18.0,35.0,5.5,12.0,5.0,5.0,0.0,0.0
2018-09-30,FND1051,GROWTH FUND,FISHER FUNDS KIWISAVER SCHEME,0.95,1724794141.0,109419,2007-10-01,13.19,,1.47,,,,,,,,,,,,7.33,16.14,0.0,29.76,40.67,0.71,5.39,0.0,0.0,5.0,6.0,9.0,29.0,42.0,4.5,4.5,0.0,0.0
2018-09-30,FND1052,BALANCED STRATEGY,FISHER FUNDS KIWISAVER SCHEME,0.90,627551686.0,38553,2009-06-01,9.29,,1.24,,,,,,,,,,,,10.38,27.78,8.42,19.5,27.63,0.74,5.55,0.0,0.0,11.5,11.0,21.0,18.0,28.5,5.0,5.0,0.0,0.0
2018-09-30,FND10584,JUNO CONSERVATIVE FUND,JUNO KIWISAVER SCHEME,0.42,632153.46,16,2018-08-01,,,0.42,,,,,,,,,,,,91.41,,8.35,0.24,,,,,,65.0,,10.0,,25.0,,,,
