quarter,fund_number,fund_name,scheme_name,provider,fum,members,fund_start_date,return_1yr,return_5yr_avg,fee_total,risk_indicator,return_yr1,return_yr2,return_yr3,return_yr4,return_yr5,return_yr6,return_yr7,return_yr8,return_yr9,return_yr10,alloc_cash_and_cash_equivalents,alloc_new_zealand_fixed_interest,alloc_international_fixed_interest,alloc_australasian_equities,alloc_international_equities,alloc_listed_properties,alloc_unlisted_properties,alloc_other,alloc_commodities,target_cash_and_cash_equivalents,target_new_zealand_fixed_interest,target_international_fixed_interest,target_australasian_equities,target_international_equities,target_listed_properties,target_unlisted_properties,target_other,target_commodities
2016-12-31,FND3138,AMANAH GROWTH FUND,AMANAH KIWISAVER PLAN,AMANAH KIWISAVER PLAN,7191565.25,967,2014-03-24,-4.01,,2.07,,,,,,,,,,,,29.39,,,,70.61,,,,,20.0,,,,80.0,,,,
2016-12-31,FND119,AMP DEFAULT FUND,AMP KIWISAVER SCHEME,AMP KIWISAVER SCHEME,1285385469.44,116369,2007-10-01,3.63,,0.4,,,,,,,,,,,,49.25,14.23,14.3,6.93,15.29,0.0,0.0,0.0,0.0,45.0,17.5,17.5,7.0,13.0,0.0,0.0,0.0,0.0
2016-12-31,FND130,AMP CASH FUND,AMP KIWISAVER SCHEME,AMP KIWISAVER SCHEME,83962890.27,4594,2007-10-01,1.36,,0.79,,,,,,,,,,,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-31,FND131,AMP CONSERVATIVE FUND,AMP KIWISAVER SCHEME,AMP KIWISAVER SCHEME,299075474.91,12466,2007-10-01,3.38,,0.99,,,,,,,,,,,,32.07,21.67,21.62,5.18,14.78,3.63,0.0,0.0,1.05,25.0,25.0,25.0,5.0,13.5,4.5,0.0,0.0,2.0
2016-12-31,FND132,AMP MODERATE FUND,AMP KIWISAVER SCHEME,AMP KIWISAVER SCHEME,360029808.7,12730,2007-10-01,4.14,,1.08,,,,,,,,,,,,24.93,17.64,17.68,9.51,24.57,4.09,0.0,0.0,1.58,18.0,21.0,21.0,9.5,22.5,5.5,0.0,0.0,2.5
2016-12-31,FND133,AMP MODERATE BALANCED FUND,AMP KIWISAVER SCHEME,AMP KIWISAVER SCHEME,512016131.21,18868,2007-10-01,4.66,,1.14,,,,,,,,,,,,21.0,14.68,14.74,12.6,30.05,5.44,0.0,0.0,1.49,14.0,18.0,18.0,12.5,28.5,6.5,0.0,0.0,2.5
2016-12-31,FND134,AMP BALANCED FUND,AMP KIWISAVER SCHEME,AMP KIWISAVER SCHEME,747145051.93,29541,2007-10-01,5.25,,1.15,,,,,,,,,,,,16.9,11.65,11.7,15.38,36.65,5.59,0.0,0.0,2.13,10.0,15.0,15.0,15.0,35.0,7.0,0.0,0.0,3.0
2016-12-31,FND135,AMP GROWTH FUND,AMP KIWISAVER SCHEME,AMP KIWISAVER SCHEME,568175700.37,27731,2007-10-01,6.25,,1.17,,,,,,,,,,,,12.73,3.75,3.81,19.42,49.4,7.78,0.0,0.0,3.11,6.0,7.0,7.0,19.0,48.0,9.0,0.0,0.0,4.0
2016-12-31,FND136,AMP AGGRESSIVE FUND,AMP KIWISAVER SCHEME,AMP KIWISAVER SCHEME,239207622.94,22063,2007-10-01,6.83,,1.26,,,,,,,,,,,,9.23,0.52,0.54,22.71,55.53,8.42,0.0,0.0,3.05,5.0,2.5,2.5,22.5,54.0,9.5,0.0,0.0,4.0
2016-12-31,FND137,ANZ BALANCED GROWTH FUND,AMP KIWISAVER SCHEME,AMP KIWISAVER SCHEME,196202143.88,6271,2007-10-01,3.11,,1.2,,,,,,,,,,,,12.58,8.48,17.02,14.57,37.34,10.01,0.0,0.0,0.0,6.0,9.0,20.0,16.0,39.0,10.0,0.0,0.0,0.0
