quarter,fund_number,fund_name,scheme_name,provider,fum,members,fund_start_date,return_1yr,return_5yr_avg,fee_total,risk_indicator,return_yr1,return_yr2,return_yr3,return_yr4,return_yr5,return_yr6,return_yr7,return_yr8,return_yr9,return_yr10,alloc_cash_and_cash_equivalents,alloc_new_zealand_fixed_interest,alloc_international_fixed_interest,alloc_australasian_equities,alloc_international_equities,alloc_listed_properties,alloc_unlisted_properties,alloc_other,alloc_commodities,target_cash_and_cash_equivalents,target_new_zealand_fixed_interest,target_international_fixed_interest,target_australasian_equities,target_international_equities,target_listed_properties,target_unlisted_properties,target_other,target_commodities
2016-09-30,FND119,AMP DEFAULT FUND,AMP KIWISAVER SCHEME,AMP KIWISAVER SCHEME,1277374567.13,117454,39356.0,4.64,,0.4,,,,,,,,,,,,48.52,14.67,14.59,7.19,15.03,0.0,0.0,0.0,0.0,45.0,17.5,17.5,7.0,13.0,0.0,0.0,0.0,0.0
2016-09-30,FND130,AMP CASH FUND,AMP KIWISAVER SCHEME,AMP KIWISAVER SCHEME,79683113.71,4575,39356.0,1.5,,0.79,,,,,,,,,,,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-30,FND131,AMP CONSERVATIVE FUND,AMP KIWISAVER SCHEME,AMP KIWISAVER SCHEME,296111427.47,12467,39356.0,4.69,,0.99,,,,,,,,,,,,31.71,21.83,21.93,5.17,14.58,3.78,0.0,0.0,1.0,25.0,25.0,25.0,5.0,13.5,4.5,0.0,0.0,2.0
2016-09-30,FND132,AMP MODERATE FUND,AMP KIWISAVER SCHEME,AMP KIWISAVER SCHEME,354001394.83,12687,39356.0,5.77,,1.08,,,,,,,,,,,,24.62,17.76,17.9,9.64,23.79,4.76,0.0,0.0,1.53,18.0,21.0,21.0,9.5,22.5,5.5,0.0,0.0,2.5
2016-09-30,FND133,AMP MODERATE BALANCED FUND,AMP KIWISAVER SCHEME,AMP KIWISAVER SCHEME,500252201.66,18844,39356.0,6.57,,1.14,,,,,,,,,,,,21.09,14.8,14.78,12.7,29.45,5.72,0.0,0.0,1.46,14.0,18.0,18.0,12.5,28.5,6.5,0.0,0.0,2.5
2016-09-30,FND134,AMP BALANCED FUND,AMP KIWISAVER SCHEME,AMP KIWISAVER SCHEME,740302376.53,29865,39356.0,7.25,,1.15,,,,,,,,,,,,16.35,11.94,11.91,15.34,36.21,6.2,0.0,0.0,2.05,10.0,15.0,15.0,15.0,35.0,7.0,0.0,0.0,3.0
2016-09-30,FND135,AMP GROWTH FUND,AMP KIWISAVER SCHEME,AMP KIWISAVER SCHEME,559541125.53,27898,39356.0,8.41,,1.17,,,,,,,,,,,,12.49,3.91,3.95,19.31,49.06,8.24,0.0,0.0,3.04,6.0,7.0,7.0,19.0,48.0,9.0,0.0,0.0,4.0
2016-09-30,FND136,AMP AGGRESSIVE FUND,AMP KIWISAVER SCHEME,AMP KIWISAVER SCHEME,238745616.53,22364,39356.0,9.35,,1.26,,,,,,,,,,,,9.01,0.53,0.55,22.95,55.33,8.72,0.0,0.0,2.91,5.0,2.5,2.5,22.5,54.0,9.5,0.0,0.0,4.0
2016-09-30,FND137,ANZ BALANCED GROWTH FUND,AMP KIWISAVER SCHEME,AMP KIWISAVER SCHEME,193597068.17,6167,39356.0,6.91,,1.2,,,,,,,,,,,,15.68,8.47,15.4,15.07,35.18,10.2,0.0,0.0,0.0,6.0,9.0,20.0,16.0,39.0,10.0,0.0,0.0,0.0
2016-09-30,FND138,FISHER BALANCED FUND,AMP KIWISAVER SCHEME,AMP KIWISAVER SCHEME,32399220.69,1386,39356.0,8.97,,1.28,,,,,,,,,,,,15.43,15.52,12.39,21.44,22.71,0.0,12.51,0.0,0.0,16.0,12.0,15.0,23.5,23.5,0.0,10.0,0.0,0.0
2016-09-30,FND139,NIKKO AM BALANCED FUND,AMP KIWISAVER SCHEME,AMP KIWISAVER SCHEME,37468490.07,1478,39356.0,8.35,,1.51,,,,,,,,,,,,0.0,14.01,14.1,21.01,26.22,4.9,0.0,19.76,0.0,0.0,14.0,14.0,21.0,26.0,5.0,0.0,20.0,0.0
2016-09-30,FND608,AMP AUSTRALASIAN SHARES FUND,AMP KIWISAVER SCHEME,AMP KIWISAVER SCHEME,149820.16,29,2016-07-28,0.0,,1.2,,,,,,,,,,,,3.14,0.0,0.0,96.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2016-09-30,FND609,AMP GLOBAL MULTI-ASSET FUND,AMP KIWISAVER SCHEME,AMP KIWISAVER SCHEME,332408.89,28,2016-07-28,0.0,,1.62,,,,,,,,,,,,22.57,0.0,34.25,13.95,15.27,0.88,0.0,13.08,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0
2016-09-30,FND610,AMP INCOME GENERATOR FUND,AMP KIWISAVER SCHEME,AMP KIWISAVER SCHEME,92190.43,9,2016-07-28,0.0,,1.21,,,,,,,,,,,,2.72,22.0,29.07,34.16,7.03,5.02,0.0,0.0,0.0,10.0,25.0,25.0,30.0,5.0,5.0,0.0,0.0,0.0
2016-09-30,FND611,AMP INTERNATIONAL FIXED INTEREST FUND,AMP KIWISAVER SCHEME,AMP KIWISAVER SCHEME,51641.34,8,2016-07-28,0.0,,1.02,,,,,,,,,,,,1.28,4.22,94.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-30,FND612,AMP INTERNATIONAL SHARES FUND,AMP KIWISAVER SCHEME,AMP KIWISAVER SCHEME,101315.05,22,2016-07-28,0.0,,1.24,,,,,,,,,,,,3.77,0.0,0.0,2.19,94.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2016-09-30,FND613,AMP NEW ZEALAND FIXED INTEREST FUND,AMP KIWISAVER SCHEME,AMP KIWISAVER SCHEME,36258.22,7,2016-07-28,0.0,,0.88,,,,,,,,,,,,0.5,88.22,11.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
