source,period,fund_name,scheme,fum,members,start_date,risk_indicator,return_1yr,return_5yr_avg,fee
mercer,2026-03-31,Responsible High Growth,,,8088,2007-10-01,,10.1,5.89,0.89
mercer,2026-03-31,Responsible Moderate,,,4827,2015-02-18,,5.16,3.03,0.66
mercer,2026-03-31,Responsible Shares,,,2220,2015-02-18,,10.94,5.77,0.95
mercer,2024-09-30,Cash,,,1277,2007-10-01,,4.08,1.81,0.33
mercer,2024-09-30,Sustainable Conservative,,,24230,2007-10-01,,9.59,2.12,0.48
mercer,2024-09-30,Sustainable Plus Balanced,,,13048,2007-10-01,,14.12,4.43,0.76
mercer,2024-09-30,Sustainable Plus Growth,,,6404,2015-02-18,,16.92,5.76,0.85
mercer,2024-09-30,Sustainable Plus High Growth,,,8536,2007-10-01,,19.0,6.77,0.9
mercer,2024-09-30,Sustainable Plus Moderate,,,5470,2015-02-18,,11.34,3.24,0.66
mercer,2024-09-30,Sustainable Plus Shares,,,2300,2015-02-18,,20.89,7.13,0.96
mercer,2025-09-30,Cash,,,1216,2007-10-01,,2.88,2.27,0.32
mercer,2025-09-30,Responsible Conservative,,,22320,2007-10-01,,4.92,2.55,0.49
mercer,2025-09-30,Sustainable Balanced,,,12461,2007-10-01,,8.93,5.78,0.75
mercer,2025-09-30,Sustainable Growth,,,6199,2015-02-18,,10.84,7.56,0.84
mercer,2025-09-30,Sustainable High Growth,,,8311,2007-10-01,,12.86,8.94,0.89
mercer,2025-09-30,Sustainable Moderate,,,5053,2015-02-18,,6.66,4.11,0.66
mercer,2025-09-30,Sustainable Shares,,,2295,2015-02-18,,14.42,9.33,0.95
simplicity,2025-06-30,Balanced,,,14103,2016-09-01,,7.71,5.31,0.25
