source,period,fund_name,scheme,fum,members,start_date,risk_indicator,return_1yr,return_5yr_avg,fee
bnz,2024-09-30,Balanced,,922470869.6,,2013-02-11,4,15.9,4.78,0.45
bnz,2024-09-30,Cash,,340119399.9,,2013-02-11,1,4.18,1.93,0.3
bnz,2024-09-30,Conservative,,904928309.8,,2013-02-11,2,9.61,1.92,0.45
bnz,2024-09-30,Default,,730958593.5,,2021-12-01,3,18.14,15.55,0.35
bnz,2024-09-30,First Home Buyer,,365742532.0,,2015-09-15,4,7.51,2.3,0.45
bnz,2024-09-30,Growth,,1896531303.0,,2013-02-11,5,18.73,6.31,0.45
bnz,2024-09-30,Moderate,,819540227.9,,2013-02-11,3,12.75,3.43,0.45
bnz,2024-12-31,Balanced,,942479617.6,,2013-02-11,4,13.76,5.19,0.45
bnz,2024-12-31,Cash,,337152128.6,,2013-02-11,1,4.01,2.06,0.3
bnz,2024-12-31,Conservative,,899519731.5,,2013-02-11,2,6.48,2.05,0.45
bnz,2024-12-31,Default,,759700427.9,,2021-12-01,3,13.96,13.5,0.35
bnz,2024-12-31,First Home Buyer,,365697348.7,,2015-09-15,4,6.05,2.47,0.45
bnz,2024-12-31,Growth,,1971295807.0,,2013-02-11,5,17.49,6.8,0.45
bnz,2024-12-31,High-Growth,,221691309.4,,2023-11-28,6,20.95,21.07,0.45
bnz,2024-12-31,Moderate,,828321189.7,,2013-02-11,3,10.1,3.72,0.45
bnz,2025-03-31,Balanced,,915415627.7,,2013-02-11,4,5.51,6.1,0.45
bnz,2025-03-31,Cash,,348046665.9,,2013-02-11,1,3.78,2.16,0.3
bnz,2025-03-31,Conservative,,899113639.8,,2013-02-11,2,4.2,2.44,0.45
bnz,2025-03-31,Default,,755038617.7,,2021-12-01,3,6.42,5.56,0.35
bnz,2025-03-31,First Home Buyer,,370388649.5,,2015-09-15,4,4.15,2.78,0.45
bnz,2025-03-31,Growth,,1896666442.0,,2013-02-11,5,6.08,8.08,0.45
bnz,2025-03-31,High-Growth,,251973491.8,,2023-11-28,6,7.14,6.66,0.45
bnz,2025-03-31,Moderate,,817773123.1,,2013-02-11,3,4.86,4.38,0.45
bnz,2025-06-30,Balanced,,943817872.1,,2013-02-11,4,8.72,5.32,0.45
bnz,2025-06-30,Cash,,353200912.5,,2013-02-11,1,3.42,2.24,0.3
bnz,2025-06-30,Conservative,,914808814.4,,2013-02-11,2,5.47,2.14,0.45
bnz,2025-06-30,Default,,789519188.3,,2021-12-01,3,10.14,8.92,0.35
bnz,2025-06-30,First Home Buyer,,375423085.1,,2015-09-15,4,4.82,2.61,0.45
bnz,2025-06-30,Growth,,1966985077.0,,2013-02-11,5,10.09,6.98,0.45
bnz,2025-06-30,High-Growth,,316651488.3,,2023-11-28,6,12.23,11.34,0.45
bnz,2025-06-30,Moderate,,830918853.3,,2013-02-11,3,7.13,3.8,0.45
bnz,2025-09-30,Balanced,,996714701.0,,2013-02-11,4,11.23,6.66,0.45
bnz,2025-09-30,Cash,,347596409.0,,2013-02-11,1,3.0,2.35,0.3
bnz,2025-09-30,Conservative,,930483640.2,,2013-02-11,2,5.2,2.39,0.45
bnz,2025-09-30,Default,,849365940.9,,2021-12-01,3,11.5,11.09,0.35
