From Period,To Period,Provider,Fund,Persistence Type
2022-03-31,2022-12-31,1.04,MILFORD KIWISAVER BALANCED FUND,Top-to-Top
2022-03-31,2022-12-31,0.95,GROWTH FUND,Bottom-to-Bottom
2022-03-31,2022-12-31,1.43,CASTLE POINT 5 OCEANS FUND,Top-to-Top
2022-03-31,2022-12-31,1.25,ARK DISRUPTIVE INNOVATION FUND,Bottom-to-Bottom
2022-03-31,2022-12-31,0.62,JUNO GROWTH FUND,Bottom-to-Bottom
2022-03-31,2022-12-31,0.97,QUAYSTREET BALANCED FUND,Top-to-Top
2022-03-31,2022-12-31,0.47,EMERGING MARKETS EQUITIES FUND,Bottom-to-Bottom
2022-03-31,2022-12-31,1.07,INVESTNOW CASTLE POINT TRANS-TASMAN FUND,Bottom-to-Bottom
2022-03-31,2022-12-31,1.08,NIKKO AM BALANCED FUND,Bottom-to-Bottom
2022-03-31,2022-12-31,1.13,QUAYSTREET AUSTRALIAN EQUITY FUND,Top-to-Top
