Fund Name,Provider,Risk Indicator,Periods,Avg Return %,Volatility (std),Return/Vol Ratio
RUSSELL LIFEPOINTS® MODERATE FUND,0.94,,7,5.83,5.42,1.08
SUPERLIFE AGE STEPS - AGE 70,0.47,,5,3.49,5.42,0.64
BNZ KIWISAVER BALANCED FUND,1.00,,6,5.29,5.4,0.98
GLIDEPATH AGE 75,0.8,,4,-0.22,5.35,-0.04
BALANCED FUND,0.68,,14,5.75,5.32,1.08
SOCIALLY RESPONSIBLE INVESTMENT BALANCED FUND,1.17,,8,9.64,5.28,1.83
QUAYSTREET SOCIALLY RESPONSIBLE INVESTMENT FUND,0.89,,3,6.56,5.28,1.24
MILFORD KIWISAVER ACTIVE GROWTH FUND,1.02,,3,11.58,5.27,2.2
NZ PROPERTY ETF FUND,0.35,,5,8.05,5.25,1.53
SUPERLIFE CONSERVATIVE,0.47,,4,4.7,5.24,0.9
SELECT BALANCED,AMP WEALTH MANAGEMENT NEW ZEALAND LIMITED,4,2,14.19,5.22,2.72
MERCER BALANCED FUND,1.12,,7,4.98,5.21,0.96
QUAYSTREET BALANCED FUND,0.89,,4,5.88,5.2,1.13
BALANCED,1.03,,7,6.26,5.19,1.21
CONSERVATIVE,AMP WEALTH MANAGEMENT NEW ZEALAND LIMITED,3,2,3.15,5.17,0.61
PROPERTY FUND,0.35,,4,5.06,5.13,0.99
CONSERVATIVE FUND,0.6,,4,-1.02,5.12,-0.2
BALANCED GROWTH FUND,1.09,,7,7.57,5.12,1.48
GLIDEPATH AGE 65,0.84,,8,2.26,5.11,0.44
STEPPING STONES 61-64,1.00,,5,7.31,5.11,1.43
MERCER BALANCED FUND,0.68,,16,5.93,5.09,1.17
LIFE CYCLE - AGE 75,1.03,,2,-5.28,5.09,-1.04
RUSSELL LIFEPOINTS® TARGET DATE 2035 FUND,1.06,,4,4.79,5.06,0.95
AMP RESPONSIBLE INVESTMENT BALANCED FUND,1.08,,4,3.85,5.06,0.76
MILFORD KIWISAVER MODERATE FUND,0.92,,2,-1.62,5.03,-0.32
MILFORD KIWISAVER BALANCED FUND,1.02,,7,8.03,4.99,1.61
GROWTH FUND,0.66,,2,11.66,4.99,2.34
CASH ENHANCED FUND,0.52,,4,-0.28,4.98,-0.06
MODERATE FUND,0.6,,8,2.1,4.98,0.42
BALANCED FUND,0.61,,4,5.75,4.97,1.16
CONSERVATIVE FUND,0.38,,8,-0.03,4.96,-0.01
BNZ KIWISAVER BALANCED FUND,0.58,,3,5.67,4.95,1.15
NIKKO AM CONSERVATIVE FUND,0.98,,15,2.96,4.93,0.6
LIFE CYCLE - AGE 65,1.04,,2,-6.76,4.91,-1.38
JUNO BALANCED FUND,0.6,,2,-14.66,4.9,-2.99
AMP MODERATE BALANCED FUND,1.02,,9,5.17,4.82,1.07
AMP MODERATE BALANCED FUND (LIFESTEPS),1.02,,9,5.17,4.82,1.07
BALANCED,0.97,,4,4.97,4.8,1.04
SHARES FUND,0.9,,2,10.38,4.77,2.18
QUAYSTREET INTERNATIONAL EQUITY FUND,1.04,,3,20.81,4.74,4.39
NZ DIVIDEND ETF FUND,0.35,,5,5.76,4.74,1.22
SUPERLIFE 60,0.37,,4,3.46,4.72,0.73
MILFORD KIWISAVER CONSERVATIVE FUND,0.93,,5,2.0,4.71,0.42
ANZ BALANCED FUND,1.19,,4,4.19,4.71,0.89
LIFESTAGES AUTO OPTION AGE 45 - 54,0.7,,3,6.32,4.7,1.34
STEPPING STONES GROWTH 61-64,1.00,,4,5.92,4.68,1.26
RUSSELL LIFEPOINTS® TARGET DATE 2025 FUND,0.92,,4,6.8,4.66,1.46
CARESAVER BALANCED FUND,1.10,,2,12.3,4.6,2.67
