Period,Risk(1-7),Funds,Mean %,Median %,Min %,Max %,Q1(25th)%,Q3(75th)%
2021-09-30,1,39,0.68,0.18,-1.14,4.46,-0.07,0.57
2021-09-30,2,16,-0.62,-0.45,-3.15,0.52,-0.9,0.05
2021-09-30,3,156,1.93,1.66,-13.78,16.28,-0.84,4.57
2021-09-30,4,160,12.91,12.91,-0.77,32.15,9.98,15.87
2021-09-30,5,247,19.72,19.91,-15.68,55.07,15.89,23.98
2021-09-30,6,81,26.85,26.53,-28.54,51.47,22.56,30.95
